name,firstname,surname,role_raw,gender,type,n_mentions,n_docs
Jaroslav KUBERA,Jaroslav,KUBERA,senátor,M,M6,9,2
Jiří KOŽELOUH,Jiří,KOŽELOUH,vedoucí programu,M,M5,9,1
Slavomír GOGA,Slavomír,GOGA,chargé d affaires v,M,?,9,1
Soňa JONÁŠOVÁ,Soňa,JONÁŠOVÁ,zakladatelka ředitelka,F,M5,9,1
Luboš PAVLAS,Luboš,PAVLAS,člen představenstva,M,M6,9,1
Lubomír ZAORÁLEK,Lubomír,ZAORÁLEK,ministr kultury,M,M6,9,2
Ivan PILNÝ,Ivan,PILNÝ,bývalý ministr financí,M,M6,9,1
Aleš ERBER,Aleš,ERBER,lesnický poradce člen,M,M5,9,2
Ondřej JONÁŠ,Ondřej,JONÁŠ,investiční bankéř,M,?,9,2
Ondřej BENEŠÍK,Ondřej,BENEŠÍK,předseda výboru pro evropské záležitosti,M,M6,9,1
Ivan ADAMEC,Ivan,ADAMEC,lídr kandidátky,M,M6,9,1
Dita CHARANZOVÁ,Dita,CHARANZOVÁ,místopředsedkyně,F,M6,9,2
Magda ŠULCOVÁ,Magda,ŠULCOVÁ,redaktorka,F,M1,9,1
Lukáš BARTOŇ,Lukáš,BARTOŇ,místopředseda,M,M6,9,1
Marek HILŠER,Marek,HILŠER,senátor,M,M6,9,1
Alexandr AČ,Alexandr,AČ,vědecký pracovník,M,M3,9,2
Zdeněk TŮMA,Zdeněk,TŮMA,ekonom bývalý guvernér,M,M5,9,1
Zdeněk KOVÁŘÍK,Zdeněk,KOVÁŘÍK,nový místostarosta,M,?,9,1
Marcela VLADAŘOVÁ,Marcela,VLADAŘOVÁ,k anorexii ji přivedl zdravý,F,?,9,1
Margita BALAŠTÍKOVÁ,Margita,BALAŠTÍKOVÁ,předsedkyně podvýbor pro potravinářství,F,M6,9,1
Jaroslav RYGL,Jaroslav,RYGL,ředitel,M,M5,8,1
Andrej BABIŠ,Andrej,BABIŠ,český premiér,M,?,8,5
Ivan HLADÍK,Ivan,HLADÍK,pracuje se seniory,M,?,8,1
Yvonna GAILLYOVÁ,Yvonna,GAILLYOVÁ,ředitelka ekologického institutu,F,M5,8,1
Zuzana TEJNICKÁ,Zuzana,TEJNICKÁ,redaktorka,F,M1,8,2
Marcela MACHOVÁ,Marcela,MACHOVÁ,specialistka na pojištění,F,M5,8,1
Dominika VŘEŠŤÁLOVÁ,Dominika,VŘEŠŤÁLOVÁ,redaktorka,F,M1,8,2
Robert WATSON,Robert,WATSON,předseda,M,M6,8,4
Vítězslav HRUŠKA,Vítězslav,HRUŠKA,specialista na daně partner,M,M5,8,1
Libor AMBROZEK,Libor,AMBROZEK,bývalý ministr životního prostředí,M,M6,8,3
Anna HUBÁČKOVÁ,Anna,HUBÁČKOVÁ,kandidátka na ministryni životního prostředí,F,M6,8,8
Jeremy CLARKSON,Jeremy,CLARKSON,moderátor,M,M1,8,1
Romana LEHMANNOVÁ,Romana,LEHMANNOVÁ,redaktorka,F,M1,8,2
Rudolf JINDRÁK,Rudolf,JINDRÁK,náměstek pro řízení sekce právní,M,M5,8,1
Jan BANOUT,Jan,BANOUT,děkan,M,M5,8,1
Barbora MĚKOTOVÁ,Barbora,MĚKOTOVÁ,redaktorka,F,M1,8,2
Bjorn LOMBORG,Bjorn,LOMBORG,dánský statistik,M,M3,8,1
Martin PIVOKONSKÝ,Martin,PIVOKONSKÝ,ředitel,M,M5,8,1
Martin NOVÁK,Martin,NOVÁK,vedoucí regionálního předpovědního pracoviště,M,M5,8,3
Charles MICHEL,Charles,MICHEL,předseda,M,M6,8,8
Vladimír ŠPIDLA,Vladimír,ŠPIDLA,bývalý premiér,M,M6,8,1
Vladimíra LESENKÁ,Vladimíra,LESENKÁ,lídryně kandidátky,F,M6,8,1
Petr KOZLÍČEK,Petr,KOZLÍČEK,redaktor,M,M1,8,2
Petr HLADÍK,Petr,HLADÍK,místopředseda strany,M,M6,8,2
Jan VALENTIN,Jan,VALENTIN,odborník na silniční stavby,M,M3,8,1
Jiří PETROVIČ,Jiří,PETROVIČ,moderátor,M,M1,8,6
Radim FIALA,Radim,FIALA,místopředseda hnutí poslanec,M,M6,8,1
Josef SOUKUP,Josef,SOUKUP,agroekolog fakulta agrobiologie,M,?,8,1
Jan LIPAVSKÝ,Jan,LIPAVSKÝ,odborník na bezpečnost a zahraniční,M,M3,8,1
Jan LIPAVSKÝ,Jan,LIPAVSKÝ,poslanec,M,M6,8,1
Barack OBAMA,Barack,OBAMA,prezident,M,M6,8,7
Martin MAŘÍK,Martin,MAŘÍK,redaktor,M,M1,8,1
Klára JEŠINOVÁ,Klára,JEŠINOVÁ,redaktorka,F,M1,8,3
Vojtěch JANSA,Vojtěch,JANSA,náměstek ředitele,M,M5,8,1
Michal KUČERA,Michal,KUČERA,místopředseda strany,M,M6,8,2
Petr ŠTĚPÁNEK,Petr,ŠTĚPÁNEK,předseda strany,M,M6,8,1
Petr ŠÍPEK,Petr,ŠÍPEK,entomolog,M,?,8,1
Karel KOVANDA,Karel,KOVANDA,bývalý velvyslanec,M,M6,8,1
Patrik MLYNÁŘ,Patrik,MLYNÁŘ,ředitel sekce lesního hospodářství,M,M5,8,1
Petr DOLÍNEK,Petr,DOLÍNEK,náměstek primátorky hlavního města,M,M5,8,1
Antonín OSIČKA,Antonín,OSIČKA,předseda,M,M6,8,5
Kristalina GEORGIEVOVÁ,Kristalina,GEORGIEVOVÁ,místopředsedkyně,F,M6,8,1
Donald TRUMP,Donald,TRUMP,republikánský kandidát na prezidenta,M,?,8,8
Oldřich HAIČMAN,Oldřich,HAIČMAN,ředitel,M,M5,8,1
Bohumír JANSKÝ,Bohumír,JANSKÝ,hydrolog geolog,M,M3,8,1
Bohumír JÁNSKÝ,Bohumír,JÁNSKÝ,profesor katedra fyzické geografie a,M,M3,8,1
Vojtěch MUNZAR,Vojtěch,MUNZAR,místopředseda podvýboru pro energetiku,M,M6,8,1
Jakub LINKA,Jakub,LINKA,redaktor,M,M1,8,2
Jan KRAJHANZL,Jan,KRAJHANZL,sociální a environmentální psycholog,M,?,8,1
Bronislav BECHNÍK,Bronislav,BECHNÍK,redakce obnovitelných energií,M,?,8,1
Petr MÁRA,Petr,MÁRA,youtuber,M,?,8,1
Petr LEYER,Petr,LEYER,právník,M,?,8,1
Milan URBAN,Milan,URBAN,bývalý ministr průmyslu a obchodu,M,M6,8,2
Jiří BĚHOUNEK,Jiří,BĚHOUNEK,poslanec,M,M6,8,2
Jiří CRHA,Jiří,CRHA,radní pro dopravu,M,M6,8,1
Andrea ČANDOVÁ,Andrea,ČANDOVÁ,redaktorka,F,M1,8,3
Jozef PECHO,Jozef,PECHO,klimatolog,M,M3,8,3
Tomáš INDREI,Tomáš,INDREI,redaktor,M,M1,8,1
Tomáš PROUZA,Tomáš,PROUZA,bývalý státní tajemník pro evropské,M,M6,8,1
Tomáš LERCH,Tomáš,LERCH,ředitel dopravní policie,M,M5,8,1
Jana FILIPOVIČOVÁ,Jana,FILIPOVIČOVÁ,starostka obce,F,M6,8,1
René NEDĚLA,René,NEDĚLA,náměstek pro řízení sekce energetiky,M,M5,8,1
Nemeškalová ROSINOVÁ,Nemeškalová,ROSINOVÁ,právnička,F,?,8,2
Monika FLEISCHMANNOVÁ,Monika,FLEISCHMANNOVÁ,redaktorka redaktorka,F,M1,8,2
Jiří MACHÁČEK,Jiří,MACHÁČEK,archeolog,M,M3,8,1
Hnutí DUHA,Hnutí,DUHA,jejich výzvu podepsalo,M,?,8,1
Hynek KMONÍČEK,Hynek,KMONÍČEK,velvyslanec,M,M6,8,2
Pavel ŠOLC,Pavel,ŠOLC,náměstek ministra průmyslu a obchodu,M,M5,8,1
Ivan BARTOŠ,Ivan,BARTOŠ,předseda,M,M6,8,2
Jaroslav HANÁK,Jaroslav,HANÁK,prezident,M,M6,8,2
Miroslav KUNDRATA,Miroslav,KUNDRATA,ředitel,M,M5,8,2
Pavel PUNČOCHÁŘ,Pavel,PUNČOCHÁŘ,sekce vodního hospodářství ministerstvo zemědělství,M,?,8,1
Ivan PILNÝ,Ivan,PILNÝ,zastupitel hl,M,M6,8,1
Marian JUREČKA,Marian,JUREČKA,člen podvýboru pro energetiku,M,M6,8,1
Zdeněk VENERA,Zdeněk,VENERA,ředitel,M,M5,8,2
Miroslava NERADOVÁ,Miroslava,NERADOVÁ,organizátorka petice proti zákazu kouření,F,?,8,1
Miroslav TRNKA,Miroslav,TRNKA,bioklimatolog portál,M,M3,8,2
Kateřina KONEČNÁ,Kateřina,KONEČNÁ,europoslankyně,F,M6,8,2
Kateřina FERENČÍKOVÁ,Kateřina,FERENČÍKOVÁ,spolupracovnice,F,?,8,1
Michal BROŽA,Michal,BROŽA,šéf kanceláře,M,M5,8,1
Jan SECHTER,Jan,SECHTER,náměstek ministra dopravy,M,M5,8,1
Ondřej HOUSKA,Ondřej,HOUSKA,redaktor,M,M1,8,1
Františka ČÍŽKOVÁ,Františka,ČÍŽKOVÁ,módní kritička,F,?,8,1
Petr PAŘIL,Petr,PAŘIL,biolog,M,M3,8,1
Jan HERZMANN,Jan,HERZMANN,analytik,M,M5,8,1
Veronika KYNČLOVÁ,Veronika,KYNČLOVÁ,redaktorka,F,M1,8,1
Anna BAHNEROVÁ,Anna,BAHNEROVÁ,redaktorka,F,M1,7,1
Milan ŠTECH,Milan,ŠTECH,katedra botaniky,M,M3,7,1
Jeroným TEJC,Jeroným,TEJC,předseda poslaneckého klubu strany,M,M6,7,1
Jevhenija VACHNIČENKO,Jevhenija,VACHNIČENKO,redaktorka,F?,M1,7,2
Miroslav MAREŠ,Miroslav,MAREŠ,expert na extremismus,M,M5,7,1
Lukáš KAUCKÝ,Lukáš,KAUCKÝ,český velvyslanec v,M,?,7,1
Magda VÁŠÁRYOVÁ,Magda,VÁŠÁRYOVÁ,poslankyně,F,M6,7,1
Yngvar BRENNA,Yngvar,BRENNA,spolupracovník,M,?,7,1
Marcela DURASOVÁ,Marcela,DURASOVÁ,redaktorka,F,M1,7,1
David ČERNÝ,David,ČERNÝ,etik filozof,M,?,7,1
Miroslav ZÁMEČNÍK,Miroslav,ZÁMEČNÍK,hlavní analytik týdeníku,M,M5,7,1
Alexandr VONDRA,Alexandr,VONDRA,místopředseda strany,M,M6,7,1
Magdaléna TROJANOVÁ,Magdaléna,TROJANOVÁ,redaktorka,F,M1,7,1
Vít RAKUŠAN,Vít,RAKUŠAN,předseda hnutí,M,M6,7,7
Hoesung LEE,Hoesung,LEE,předseda,M,M6,7,7
Jaroslav LOBKOWICZ,Jaroslav,LOBKOWICZ,poslanec zástupce,M,M6,7,1
Jaroslav HOLÍK,Jaroslav,HOLÍK,místopředseda výbor pro životní prostředí,M,M6,7,1
Miroslav TOMAN,Miroslav,TOMAN,ministr zemědělství,M,M6,7,7
Jana HORKÁ,Jana,HORKÁ,redaktorka,F,M1,7,1
Jana BARTŮŇKOVÁ,Jana,BARTŮŇKOVÁ,redaktorka,F,M1,7,2
Pavel SVOBODA,Pavel,SVOBODA,bývalý europoslanec,M,M6,7,1
Lukáš POP,Lukáš,POP,meteorolog,M,M3,7,1
Al GORE,Al,GORE,bývalý americký viceprezident,M,M6,7,5
Lukáš VRÁBLÍK,Lukáš,VRÁBLÍK,katedra betonových a zděných konstrukcí,M,M3,7,1
Tomáš POSPÍŠIL,Tomáš,POSPÍŠIL,pověřený řízením podniku,M,?,7,2
Michael CRAMER,Michael,CRAMER,předseda výboru pro dopravu a,M,M6,7,1
Vědunka LUNARDI,Vědunka,LUNARDI,spolupracovnice,F?,?,7,1
Jiří BENÁČEK,Jiří,BENÁČEK,starosta,M,M6,7,1
Sean SPICER,Sean,SPICER,mluvčí,M,M1,7,7
David HLISNIKOVSKÝ,David,HLISNIKOVSKÝ,biolog,M,M3,7,1
Miloš ČERMÁK,Miloš,ČERMÁK,šéfredaktor iHNed,M,M5,7,1
Martina BACÍKOVÁ,Martina,BACÍKOVÁ,zakladatelka,F,M5,7,1
Justus PAULSEN,Justus,PAULSEN,starosta obce,M,M6,7,2
Petr SOKOL,Petr,SOKOL,politolog,M,M3,7,1
Petra TUHÁČKOVÁ,Petra,TUHÁČKOVÁ,redaktorka,F,M1,7,4
Fatih BIROL,Fatih,BIROL,hlavní ekonom,M,M5,7,2
Bronislav KVASNIČKA,Bronislav,KVASNIČKA,generální ředitel výzkumná agentura,M,M5,7,1
Boris JOHNSON,Boris,JOHNSON,premiér,M,M6,7,6
Brna ODS,Brna,ODS,živě,F?,?,7,1
Markéta CHUMCHALOVÁ,Markéta,CHUMCHALOVÁ,redaktorka,F,M1,7,4
Pavel KAPLER,Pavel,KAPLER,vedoucí polárníků,M,M5,7,1
Pavel KINDLMANN,Pavel,KINDLMANN,vedoucí pracovník,M,M5,7,1
Jakub LINKA,Jakub,LINKA,redaktor redaktor,M,M1,7,1
Andreas PAPADOPULOUS,Andreas,PAPADOPULOUS,redaktor,M,M1,7,2
Mauricio MACRI,Mauricio,MACRI,argentinský prezident,M,M6,7,7
Kamil KUPEC,Kamil,KUPEC,ředitel,M,M5,7,2
Jan KRAJHANZL,Jan,KRAJHANZL,katedra enviromentálních studií,M,M3,7,1
Jan KOZINA,Jan,KOZINA,předseda správní rady,M,M6,7,1
Stanislav LHOTA,Stanislav,LHOTA,zoolog,M,?,7,1
Václav LIDICKÝ,Václav,LIDICKÝ,ředitel odboru hospodářské úpravy a,M,M5,7,1
Václav MAREK,Václav,MAREK,ředitel laboratoře,M,M5,7,1
Václav KLAUS,Václav,KLAUS,prezident,M,M6,7,4
Petr HRADECKÝ,Petr,HRADECKÝ,vulkanolog geolog,M,?,7,1
Petr JANYŠKA,Petr,JANYŠKA,nezávislý novinář bývalý velvyslanec,M,M1,7,1
Karel KLEM,Karel,KLEM,předseda,M,M6,7,1
Drahomíra RAČÁKOVÁ,Drahomíra,RAČÁKOVÁ,moderátorka,F,M1,7,6
Donald TRUMP,Donald,TRUMP,zvolený prezident,M,?,7,4
Jiří ŠEBESTIAN,Jiří,ŠEBESTIAN,ornitolog,M,M3,7,2
Daniela TUNKLOVÁ,Daniela,TUNKLOVÁ,redaktorka,F,M1,7,2
Daniel TAKÁČ,Daniel,TAKÁČ,redaktor,M,M1,7,2
Daniel HEJL,Daniel,HEJL,spoluzakladatel a technický ředitel,M,M5,7,1
Mikuláš PEKSA,Mikuláš,PEKSA,člen výboru pro průmysl výzkum,M,M6,7,1
Petr ŠTENGL,Petr,ŠTENGL,důchodce z,M,M2,7,1
Jan NOVÁK,Jan,NOVÁK,redaktor,M,M1,7,1
Kovy KOVÁŘ,Kovy,KOVÁŘ,youtuber,M,?,7,1
Heiko MAAS,Heiko,MAAS,německý ministr zahraničí,M,M6,7,7
Václav BAŽANT,Václav,BAŽANT,dendrolog katedra ekologie lesa,M,?,7,1
Jan MACHÁČ,Jan,MACHÁČ,katedra ekonomie,M,M3,7,1
Josef ŘIHÁK,Josef,ŘIHÁK,hejtman,M,M6,7,1
Josef PAZDERKA,Josef,PAZDERKA,zahraniční zpravodaj,M,M1,7,1
Tomáš CHMELÍK,Tomáš,CHMELÍK,manažer pro čisté technologie,M,M5,7,1
Joko WIDODO,Joko,WIDODO,indonéský prezident,M,?,7,3
Jolana VOLDÁNOVÁ,Jolana,VOLDÁNOVÁ,moderátorka,F,M1,7,6
Michal PAVLÁSEK,Michal,PAVLÁSEK,dobrovolník etnolog,M,?,7,1
Armin LASCHET,Armin,LASCHET,kandidát,M,M6,7,5
Apolena RYCHLÍKOVÁ,Apolena,RYCHLÍKOVÁ,novinářka,F,M1,7,1
Bohumil DOBOŠ,Bohumil,DOBOŠ,politický geograf,M,M3,7,1
Karolína FARSKÁ,Karolína,FARSKÁ,organizátorka iniciativy,F,?,7,1
Jan ZAHRADNÍK,Jan,ZAHRADNÍK,místopředseda poslaneckého klubu,M,M6,7,1
Jan TRNKA,Jan,TRNKA,lékař biochemik,M,?,7,1
Jan VEVERA,Jan,VEVERA,přednosta,M,?,7,1
Jan STEJSKAL,Jan,STEJSKAL,historik,M,M3,7,1
Radek KUBALA,Radek,KUBALA,aktivista,M,M5,7,1
Tereza KRUMPHOLZOVÁ,Tereza,KRUMPHOLZOVÁ,moderátorka,F,M1,7,6
Jan HAMÁČEK,Jan,HAMÁČEK,ministr vnitra,M,M6,7,3
Jan CZUDEK,Jan,CZUDEK,generální ředitel,M,M5,7,4
Jan DAŇHELKA,Jan,DAŇHELKA,hydrolog,M,M3,7,1
Jan BEZDĚK,Jan,BEZDĚK,mluvčí,M,M1,7,1
Katrín JAKOBSDÓTTIROVÁ,Katrín,JAKOBSDÓTTIROVÁ,islandská premiérka,F,?,7,5
Petr HAVEL,Petr,HAVEL,zemědělský analytik,M,?,7,1
Jiří SLOVÁČEK,Jiří,SLOVÁČEK,hraboši poškozený zemědělec ze,M,?,7,1
Jiří PLEŠEK,Jiří,PLEŠEK,předseda komise pro energetiku,M,M6,7,1
Kateřina OSIČKOVÁ,Kateřina,OSIČKOVÁ,týmová lídryně dobrovolníci organizace,F,?,7,1
Martin RULÍK,Martin,RULÍK,předseda výboru,M,M6,7,1
Joan CLOS,Joan,CLOS,generální tajemník,M,M6,7,1
Radek HOLOMČÍK,Radek,HOLOMČÍK,místopředseda sněmovního zemědělského výboru,M,M6,7,1
Radek HOLOMČÍK,Radek,HOLOMČÍK,místopředseda strany místopředseda zemědělského výboru,M,M6,7,1
Barbora LUKŠOVÁ,Barbora,LUKŠOVÁ,redaktorka,F,M1,7,2
Viktorie TENZEROVÁ,Viktorie,TENZEROVÁ,ředitelka organizace,F,M5,7,1
Jan BARTOŠEK,Jan,BARTOŠEK,předseda poslaneckého klubu,M,M6,7,2
Petr KOLÁŘ,Petr,KOLÁŘ,komentátor,M,M1,7,1
Radek HOLOMČÍK,Radek,HOLOMČÍK,místopředseda zemědělského výboru,M,M6,7,1
Radim ŠRÁM,Radim,ŠRÁM,předseda,M,M6,7,1
Jan RŮŽIČKA,Jan,RŮŽIČKA,mikrobiolog,M,?,7,1
Jan SKALÍK,Jan,SKALÍK,koordinátor kampaně,M,M5,7,1
Josef KOUKAL,Josef,KOUKAL,komentátor,M,M1,7,1
Josef HÁJEK,Josef,HÁJEK,odborný asistent,M,?,7,1
Michal CAGALA,Michal,CAGALA,redaktor,M,M1,7,3
Michal CAGALA,Michal,CAGALA,redaktor redaktor,M,M1,7,1
Martin SALAJKA,Martin,SALAJKA,letecký publicista,M,?,7,1
Vladimír BEJČEK,Vladimír,BEJČEK,děkan,M,M5,7,1
Zdeněk ŽALUD,Zdeněk,ŽALUD,pedagog a vědec,M,?,7,1
Sandip VERMA,Sandip,VERMA,náměstkyně brit,M,M5,7,1
Miroslav FLORIÁN,Miroslav,FLORIÁN,ředitel,M,M5,7,1
Roman PRYMULA,Roman,PRYMULA,náměstek ministra zdravotnictví,M,M5,7,1
Alexis DUTERTRE,Alexis,DUTERTRE,velvyslanec,M,M6,7,1
Zdeněk KALVACH,Zdeněk,KALVACH,geriatr předseda správní rady,M,?,7,1
Pavel PUNČOCHÁŘ,Pavel,PUNČOCHÁŘ,vrchní rada sekce vodního hospodářství,M,?,7,1
Adam PETRUSEK,Adam,PETRUSEK,vedoucí katedry ekologie,M,M5,6,1
Aleš FARDA,Aleš,FARDA,klimatolog,M,M3,6,1
Luboš MOTL,Luboš,MOTL,fyzik publicista,M,M3,6,1
Irena KRCHÁKOVÁ,Irena,KRCHÁKOVÁ,redaktorka,F,M1,6,2
Hynek KMONÍČEK,Hynek,KMONÍČEK,ředitel zahraničního odboru,M,M5,6,1
Marek KOŠUT,Marek,KOŠUT,starosta,M,M6,6,1
Andrej BABIŠ,Andrej,BABIŠ,ministr financí předseda hnutí,M,M6,6,4
Aleš HAZUKA,Aleš,HAZUKA,redaktor,M,M1,6,1
Dmitrij PESKOV,Dmitrij,PESKOV,mluvčí,M,M1,6,5
Michal FLEISCHMANN,Michal,FLEISCHMANN,velvyslanec,M,M6,6,1
Tana WOODOVÁ,Tana,WOODOVÁ,ekoložka,F,M3,6,2
Vladimír DOLEJSKÝ,Vladimír,DOLEJSKÝ,náměstek sekce ochrany přírody a,M,M5,6,1
Ondřej KAVAN,Ondřej,KAVAN,redaktor,M,M1,6,2
Ondřej CÍSAŘ,Ondřej,CÍSAŘ,sociolog a politolog,M,M3,6,1
Josef ELSTER,Josef,ELSTER,biolog,M,M3,6,1
Barbora LOUDOVÁ,Barbora,LOUDOVÁ,redaktorka,F,M1,6,1
Veronika SKŘIVANOVÁ,Veronika,SKŘIVANOVÁ,redaktorka,F,M1,6,2
Veronika VÁCHOVÁ,Veronika,VÁCHOVÁ,redaktorka,F,M1,6,1
Greta THUNBERGOVÁ,Greta,THUNBERGOVÁ,enviromentální aktivistka,F,?,6,4
Jiří ŠEBESTIÁN,Jiří,ŠEBESTIÁN,ornitolog,M,M3,6,1
Jiří VÍŠEK,Jiří,VÍŠEK,místopředseda,M,M6,6,1
Přemysl ŠRÁMEK,Přemysl,ŠRÁMEK,redaktor,M,M1,6,2
Petr KOLÁŘ,Petr,KOLÁŘ,manažer bývalý diplomat,M,M5,6,1
Petr KOPECKÝ,Petr,KOPECKÝ,politolog,M,M3,6,1
Petr KOŘÍNEK,Petr,KOŘÍNEK,redaktor,M,M1,6,1
Vladislav SMRŽ,Vladislav,SMRŽ,ředitel sekce ministerstva životního prostředí,M,M5,6,1
Barack OBAMA,Barack,OBAMA,bývalý prezident,M,M6,6,6
Jan CHVOJKA,Jan,CHVOJKA,místopředseda poslaneckého klubu,M,M6,6,1
Jan DUSÍK,Jan,DUSÍK,zástupce pro,M,M5,6,1
Kateřina JELÍNKOVÁ,Kateřina,JELÍNKOVÁ,mluvčí,F,M1,6,1
Eliška KOLOMAZNÍKOVÁ,Eliška,KOLOMAZNÍKOVÁ,redaktorka,F,M1,6,1
Conie HADEGAARDOVÁ,Conie,HADEGAARDOVÁ,eurokomisařka pro klima,F,?,6,1
Tim JARVIS,Tim,JARVIS,badatel,M,?,6,3
Charlie VERON,Charlie,VERON,mořský biolog,F?,?,6,1
Vanda KOFROŇOVÁ,Vanda,KOFROŇOVÁ,redaktorka,F,M1,6,1
Petr PAVEL,Petr,PAVEL,náčelník,M,M6,6,1
Jan JANDOUREK,Jan,JANDOUREK,redaktor,M,M1,6,1
Jan HOLLAN,Jan,HOLLAN,odborník na klimatické změny,M,M3,6,1
Michal MACENAUER,Michal,MACENAUER,ředitel,M,M5,6,1
Arif TURHAN,Arif,TURHAN,potápěč,M,?,6,3
Antonín STEINBAUER,Antonín,STEINBAUER,majitel,M,M5,6,1
Tomáš HALÍK,Tomáš,HALÍK,teolog filozof držitel,M,?,6,1
Josef ŠTULC,Josef,ŠTULC,památkář,M,?,6,1
Josef PAZDERKA,Josef,PAZDERKA,redaktor,M,M1,6,3
Claude JUNCKER,Claude,JUNCKER,předseda,F?,M6,6,4
Barbora BERECOVÁ,Barbora,BERECOVÁ,vedoucí údržby,F,M5,6,1
Jakub PACNER,Jakub,PACNER,redaktor,M,M1,6,2
Petr BENDL,Petr,BENDL,poslanec,M,M6,6,1
Ladislav MIKO,Ladislav,MIKO,bývalý ministr životního prostředí pověřen,M,M6,6,1
Martin DORAZÍN,Martin,DORAZÍN,zpravodaj,M,M1,6,1
Veronika KABÁTOVÁ,Veronika,KABÁTOVÁ,moderátorka,F,M1,6,2
Tereza STÁRKOVÁ,Tereza,STÁRKOVÁ,redaktorka redaktorka,F,M1,6,1
Tereza ŘEZNÍČKOVÁ,Tereza,ŘEZNÍČKOVÁ,redaktorka,F,M1,6,1
Jan RUTSCH,Jan,RUTSCH,vedoucí lékař,M,M5,6,1
Petra JELÍNKOVÁ,Petra,JELÍNKOVÁ,překladatelka aktivistka hnutí,F,?,6,1
Petteri TAALAS,Petteri,TAALAS,generální tajemník,M,M6,6,6
David ATTENBOROUGH,David,ATTENBOROUGH,přírodovědec dokumentarista,M,M3,6,4
Stanislav BALÍK,Stanislav,BALÍK,politolog,M,M3,6,1
Daniel URBAN,Daniel,URBAN,předseda představenstva,M,M6,6,1
Dana SCHMIDT,Dana,SCHMIDT,novinářka bývalá spolupracovnice listu,F?,M1,6,1
Jiří MÁNEK,Jiří,MÁNEK,předseda,M,M6,6,1
Jiří KOŽELOUCH,Jiří,KOŽELOUCH,programový ředitel,M,M5,6,1
Radko KUBIČKO,Radko,KUBIČKO,komentátor,M,M1,6,1
Dušan MAJER,Dušan,MAJER,šéfredaktor,M,M5,6,1
Radim POLČÁK,Radim,POLČÁK,prorektor pro rozvoj legislativu a,M,?,6,1
Jan KLÁN,Jan,KLÁN,bývalý poslanec sociolog,M,M6,6,1
Petr KAMBERSKÝ,Petr,KAMBERSKÝ,šéfkomentátor,M,?,6,1
Petr KNAP,Petr,KNAP,odborník na automobilový průmysl vedoucí,M,M3,6,2
Bohumil KARTOUS,Bohumil,KARTOUS,odborník na vzdělávání,M,M3,6,1
Karel MATĚJKA,Karel,MATĚJKA,botanik ekolog,M,?,6,1
Stanislav KOMÁREK,Stanislav,KOMÁREK,biolog filozof,M,M3,6,1
Stanislav TUMIS,Stanislav,TUMIS,historik ředitel,M,M3,6,1
Stuart DAVIES,Stuart,DAVIES,výzkumník a ředitel,M,M3,6,1
Martin HÁLA,Martin,HÁLA,ředitel projektu,M,M5,6,1
Karel KABELE,Karel,KABELE,vedoucí katedry technických zařízení budov,M,M5,6,1
Kamila MEDOVÁ,Kamila,MEDOVÁ,redaktorka,F,M1,6,1
Ondřej VESELÝ,Ondřej,VESELÝ,předseda zahraničního výboru,M,M6,6,1
Jan KAVALÍREK,Jan,KAVALÍREK,předseda,M,M6,6,1
Pavel KINDLMANN,Pavel,KINDLMANN,populační ekolog,M,?,6,1
Pavel KINDLMANN,Pavel,KINDLMANN,vedoucí oddělení výzkumu biodiverzity,M,M5,6,2
Jakub KULHÁNEK,Jakub,KULHÁNEK,ministr zahraničních věcí,M,M6,6,4
Petr MIŇOVSKÝ,Petr,MIŇOVSKÝ,podplukovník ve výslužbě,M,?,6,1
Petr ZAVADIL,Petr,ZAVADIL,redaktor redaktor,M,M1,6,1
Carl SAFINA,Carl,SAFINA,mořský biolog,M,?,6,2
Tomáš ŘÍHA,Tomáš,ŘÍHA,mluvčí stávkujících studentů,M,M1,6,4
Karel HAVLÍČEK,Karel,HAVLÍČEK,ministr průmyslu a obchodu,M,M6,6,1
Petr TŘEŠŇÁK,Petr,TŘEŠŇÁK,poslanec člen podvýboru pro energetiku,M,M6,6,1
Filip REMUNDA,Filip,REMUNDA,dramaturg,M,?,6,1
Filip CHVÁTAL,Filip,CHVÁTAL,předseda,M,M6,6,1
Věra PALKOVSKÁ,Věra,PALKOVSKÁ,starostka,F,M6,6,1
Milan VYSKOČIL,Milan,VYSKOČIL,předseda,M,M6,6,1
David CAMERON,David,CAMERON,britský premiér,M,M6,6,6
Lukáš VONDROVIC,Lukáš,VONDROVIC,vedoucí geologických prací,M,M5,6,3
Šárka CIMALOVÁ,Šárka,CIMALOVÁ,botanička,F,?,6,2
Nora FRIDRICHOVÁ,Nora,FRIDRICHOVÁ,moderátorka,F,M1,6,6
Jarmila RÁŽOVÁ,Jarmila,RÁŽOVÁ,hlavní hygienička,F,?,6,1
Jana MORAVCOVÁ,Jana,MORAVCOVÁ,ředitelka odborné organizace v oblasti,F,M5,6,1
Jana MALÁČOVÁ,Jana,MALÁČOVÁ,ministryně práce a sociálních věcí,F,M6,6,3
Jana DRÁPELOVÁ,Jana,DRÁPELOVÁ,redaktorka,F,M1,6,1
Jana FRIČOVÁ,Jana,FRIČOVÁ,obyvatelka,F,M2,6,2
Daniel KURKA,Daniel,KURKA,ředitel pobočky,M,M5,6,2
Daniel NÝVLT,Daniel,NÝVLT,geograf,M,M3,6,1
