name,type_final,gender_final,n_mentions,n_docs
Jan HORNÁT,M3,M,3,1
Paní HOLÁ,M2,F,3,1
Martin HANEL,M5,M,3,3
Martin SIEGERT,M5,M,3,1
Tomáš DAVID,M5,M,3,1
Tomáš KAPRÁLEK,M6,M,3,1
Tomáš KOLÁŘ,M3,M,3,1
Libor GRUBHOFFER,M5,M,3,3
Lenka LAUS,M5,F,3,1
Tuncay NEYISCI,M3,M,3,3
Tomáš ZIMA,M5,M,3,2
Tomáš ŘÍHA,M5,M,3,3
Bruno BIANCHI,M2,M,3,3
Tereza DALECKÁ,M1,F,3,1
Chartě OSN,?,M,3,3
Laura DILLEYOVÁ,M5,F,3,1
Martin TANGNEY,M5,M,3,1
Martin SCHREIER,M1,M,3,2
Oliver STEEDS,M5,M,3,2
Ondřej BENEŠOVSKÝ,M5,M,3,1
Peter HARRISON,M5,M,3,1
Ismail YILDIZ,M5,M,3,3
Isabel JIMÉNEZOVÁ,M2,F,3,2
Pavel SMUTNÝ,M6,M,3,1
Jakub ŠČURKEVIČ,M1,M,3,1
Jakub LEPŠ,M3,M,3,1
Jaime RICHARDSOVÁ,M2,F,3,3
Jak LUKAVSKÝ,M3,M,3,1
Chris COONS,M6,M,3,3
Martin ŠILAR,M5,M,3,1
Martin VEČEŘA,M3,M,3,1
Kristin LAIDREOVÁ,M5,F,3,1
Christophe DELACHAT,M2,M,3,3
Claude TURMES,M6,M,3,3
Mateusz MORAWIECKI,M6,M,3,3
Claire PARKINSONOVÁ,M3,F,3,1
Klaus IOHANNIS,M6,M,3,3
Mette FREDERIKSENOVÁ,M6,F,3,3
Max LAWSON,M5,M,3,1
Clint BRADLEY,M2,M,3,3
Ted TURNER,M5,M,3,1
Dale VINCE,M5,F,3,2
Crutis DEUTSCH,M3,M,3,1
Dana PLAVCOVÁ,M5,F,3,1
Dan RAMZER,M6,M,3,2
Michael NEUWIRTH,M6,M,3,2
Michael WEHINGTON,M3,M,3,1
Michael GOVE,M6,M,3,3
Michael KARISCH,M2,M,3,3
Kevin BALES,M5,M,3,1
David GARDÁŠ,M3,M,3,1
Kateřina JANOUCH,M5,F,3,1
David FIGAR,M5,M,3,1
Daniel ZACH,M1,M,3,2
Nikol PAŠINJAN,M6,M,3,3
Nick GRAHAM,M3,M,3,1
Nicola STURGEONOVÁ,M6,F,3,3
Nicole LUDWIG,M5,F,3,1
Petr HLUBUČEK,M5,M,3,3
Petr DOBROVOLNÝ,M5,M,3,1
Petr DOBRÝ,M3,M,3,1
Petr DOUBRAVSKÝ,M1,M,3,2
Ondřej HORKÝ HLUCHÁŇ,M3,M,3,1
Ivan WATSON,M1,M,3,1
Jaroslaw KACZY SKI,M6,M,3,3
Ondřej DOSTÁL,M5,M,3,1
Michal HAŠEK,M6,M,3,2
Michal BLÁHA,M5,M,3,1
Michal BUREŠ,M2,M,3,1
Karolína KOČÍ,M1,F,3,1
Simon MAY,M2,M,3,3
Summit EU,?,M,3,3
Daniel FRYNTA,M3,M,3,1
Sergej ABANIN,M5,M,3,3
David RATH,M2,M,3,1
David RITTER,M5,M,3,3
Sigmar GABRIEL,M6,M,3,3
Kamil BENEŠ,M1,M,3,2
Kamil LÁSKA,M5,M,3,3
Stanislav KOZLÍK,M2,M,3,1
Stacey MULLEROVÁ,?,F,3,1
Soňa CEMPÍRKOVÁ,M5,F,3,1
Slávka JANDOVÁ,M1,F,3,1
Denis KALININ,M2,M,3,3
Sam HARREL,M1,M,3,3
Rudolf KREISINGER,M5,M,3,1
Josef PULÍČEK,M5,M,3,1
Kamala HARRISOVÁ,M6,F,3,3
Petr MUSIL,M3,M,3,1
Hana BAHNEROVÁ,M1,F,3,1
Peter DUHAN,M1,M,3,1
Olaf EISEN,M3,M,3,1
Oldřich MIKULICA,M3,M,3,1
Hnutí SPD,?,M,3,3
Jerzy DEMSKI,M5,M,3,2
Jeremy SYMONS,M6,M,3,3
Norbert RADMACHER,M5,M,3,3
David WASKOW,M5,M,3,3
Robert STOJANOV,M3,M,3,1
Michal VELIČKA,M5,M,3,2
Deana KOLENČÍKOVÁ,M2,F,3,1
Della TORRE,M2,F,3,3
Roman JURAS,M3,M,3,1
Dominika POSPÍŠILOVÁ,M1,F,3,1
Josef STEHLÍK,M6,M,3,3
Robin BEAMAN,M3,M,3,1
Milan BARTÁK,M3,M,3,1
Sarah EMERSONOVÁ,M5,F,3,3
Miguel CANETE,M6,M,3,3
Jozef KASALA,M5,M,3,2
Josef SLABÝ,M1,M,3,1
Josef KOTRBA,M5,M,3,1
Sebastian GONZALEZ,M3,M,3,1
Sebastien REINIER,M5,M,3,1
Erik HUSS,M3,M,3,1
Josef KRÁLÍČEK,M6,M,3,1
Josef JIŘIČNÝ,M5,M,3,1
Josef KOTRBA,M6,M,3,1
Josef HLAVINKA,M6,M,3,3
Josef HORINKA,M6,M,3,2
Josef HORÁČEK,M6,M,3,1
Josef BULKA,M5,M,3,1
Petr SEDLÁK,M5,M,3,2
Monika NOVÁKOVÁ,M1,F,3,1
Jiří NECHVÍLE,M6,M,3,1
Jiří DLOUHÝ,M5,M,3,1
Petr PROCHÁZKA,M5,M,3,1
Naďa CHATTOVÁ,M1,F,3,1
Jim SKEA,M3,M,3,3
Richard PAVLÍK,M5,M,3,1
Fallon HOVERSONOVÁ,?,F,3,1
John YARBROUGH,M5,M,3,3
John MCCAIN,M6,M,3,3
Milan ŠMÍD,M1,M,3,1
Rainer EPPELMANN,M2,M,3,1
Rajendra PACHAURI,M6,F,3,2
Petr VIZINA,M1,M,3,1
Petr VONDRÁČEK,M6,M,3,1
Petr STRNADEL,M2,M,3,1
Filip PERTOLD,M5,M,3,1
Filip VÍCH,M5,M,3,1
Filip WATTEEUW,M6,M,3,1
Filip HARTVICH,M3,M,3,1
Philip DAVIS,M6,M,3,3
Jodi SAUNDERSOVÁ,M2,F,3,1
Joe MANCHIN,M6,M,3,3
Miroslav BÁRTA,M5,M,3,3
Miroslav HORÁK,M2,M,3,1
Miloš JAHODA,M2,M,3,3
Radek HLAVÁČEK,M6,M,3,1
Miroslava BÁRTŮ,M6,F,3,1
George DOWDLE,M2,M,3,1
Petr MODLITBA,M2,M,3,1
František KOPŘIVA,M6,M,3,1
Miroslava JEŽKOVÁ,M5,F,3,1
Jiří SCHNEIDER,M5,M,3,1
Petra RAJSNEROVÁ,M3,F,3,3
František PELC,M5,M,3,3
Petr KYCL,M3,M,3,1
Petr LUDWIG,M1,M,3,1
Petr KRATOCHVÍL,?,M,3,1
Petr KNAP,M5,M,3,2
Petr KOHOUT,M3,M,3,1
Guy PARMELIN,M6,M,3,3
Pavel BLAŽEK,M6,M,3,3
Jan ŠMUCLER,M5,M,3,1
Jan ŠUROVSKÝ,M5,M,3,3
Patrick GRAICHEN,M3,M,3,3
Jan KŘÍŽ,M5,M,3,2
Zdeněk FARKA,M3,M,3,1
Wang WENBIN,M1,M,3,2
Werner KOGLER,M6,M,3,3
Alexandra UDŽENIJA,M6,F,3,3
Alexandr SOKOLOV,M3,M,3,1
Alexandra NOSKOVÁ,M1,F,3,2
Alena ŽÁKOVSKÁ,M3,F,3,2
Zdeněk NEKULA,M6,M,3,1
Zuzana ŽÁČKOVÁ,M2,F,3,1
Štefan HRTÚS,M5,M,3,1
Christian BURGER,M3,M,2,1
Christian KERN,M6,M,2,2
Christian LINDNER,M6,M,2,2
Chris ROCK,M1,M,2,1
Chris STARK,M5,M,2,2
Jaroslav KUBIŠTA,M5,M,2,1
Jakub UNUCKA,M5,M,2,2
Jakub ROZEHNAL,M5,M,2,2
Marc TASSÉ,M5,M,2,2
Jake SULLIVAN,M5,M,2,2
Izabela NIEPŘEJOVÁ,M1,F,2,2
Pavel SELEŠI,M5,M,2,1
Pavel STARÝ,M5,M,2,1
Pavel STOPKA,M3,M,2,2
Pavel PROŠEK,M3,M,2,1
James KIMARU,M2,M,2,1
Jakub STÁREK,M6,M,2,2
Ivan FUKSA,M6,M,2,2
Todd DAWSON,M3,M,2,2
Thon THAMRONGNAWASAWAT,M3,M,2,2
Tim COLE,M1,M,2,2
Martin ŠRÁMEK,M3,M,2,1
Martina FILIPOVÁ,M6,F,2,1
Martin VALTERA,M3,M,2,1
Ladislav GURTLER,M5,M,2,1
Ladislav KŘÍŽ,M1,M,2,2
Christ DAVIS,M5,M,2,2
Chien SHUN YIH,M5,M,2,1
Chloe POZASOVÁ,M5,F,2,1
Chris COCKEL,M5,M,2,1
Chan ŤIA SIN,M5,M,2,2
Charlotte SONGEUROVÁ,M3,F,2,2
Chartu OSN,?,M,2,2
Tomáš DANĚK,M5,M,2,2
Chris TURNEY,M3,M,2,2
Ladislav MENŠÍK,M5,M,2,1
Laetitia FRIMATOVÁ,M2,F,2,2
Laetitia HEDOUINOVÁ,?,F,2,1
Tomáš ZACHAT,M5,M,2,2
Toni DOHERTYOVÁ,M3,F,2,1
Bruce JAKOSKY,M5,M,2,1
Bruce JAKOVSKY,M3,M,2,1
Bořek SVOBODA,M2,M,2,1
Martin RENNHOFER,M6,M,2,2
Inger ANDERSEN,M5,M,2,2
Leo STRÁNSKÝ,M5,M,2,1
Uwe MARTH,M2,F,2,2
Tristen NAYLOR,M5,M,2,2
Tomáš KREJZAR,M5,M,2,1
Tomáš MACURA,M6,M,2,1
Tomáš MAŘAS,M1,M,2,1
Tomáš MED,M2,M,2,1
Tomáš FOLDYNA,M5,M,2,1
Leoš MAREŠ,M1,M,2,1
Ibrahim BAYLAN,M6,M,2,2
Igor GIRKIN STRELKOV,M6,M,2,1
Penelope ENDERSBYOVÁ,M5,F,2,2
Penny SHARPEOVÁ,M6,F,2,1
Per STR MBERG,M6,M,2,2
Peter BOORMAN,M3,M,2,1
Olga ŠKOPKOVÁ,M3,F,2,1
Peter KEREKES,M2,M,2,1
Lazarus SIPHUGA,M2,M,2,2
Ladislav PŮLPÁN,M5,M,2,1
Ladislav TŘEŠTÍK,M2,M,2,1
Ladislav ŠPAČEK,M1,M,2,2
Martin SIEGERT,M6,M,2,1
Martin SIEGERT,M3,M,2,1
Terry HUGHES,M5,M,2,1
Kristina AMBROŽOVÁ,M5,F,2,2
Lee ROSEN,M5,M,2,2
Laurie MARKEROVÁ,M5,F,2,1
Peter SHADLE,M5,M,2,1
Kateřina ŠEBESTOVÁ,M5,F,2,2
Stefano VIANELLO,M5,M,2,1
Michail KREINDLIN,M5,M,2,2
Michaela BABIŠOVÁ,M2,F,2,2
Michaela MLÝNKOVÁ,M2,F,2,1
Michael NEČAS,M3,M,2,2
Michael PROVENCHER,M2,M,2,1
Michael TAUSZ,M6,M,2,1
Ting JIN CHUA,M2,M,2,2
Dana VÉBROVÁ,M5,F,2,1
Damiel KURKA,M5,M,2,1
Steve HUGS,M3,M,2,1
Steve CARMEL,M2,M,2,2
Steve FORREST,M3,M,2,2
Clint EASTWOOD,M2,M,2,2
Clive PALMER,M5,F,2,1
Colin DONIHUE,M5,M,2,1
Dan ŤOK,M6,M,2,2
Dariusz NOWAK,M1,M,2,2
Daniela MONTALTOVÁ,M3,F,2,2
Daniel PAWLAS,M6,M,2,1
David HACKENBERG,M2,M,2,1
David HACKENBERG,M6,M,2,1
David HANSLIAN,M3,M,2,2
David HARKIN,M5,M,2,1
David BRINARD,M6,M,2,2
Kateřina TRNKOVÁ,M1,F,2,2
Keith LARSEN,M3,M,2,2
Kreta KAINGANG,M5,F,2,2
Knut KAISER,M3,M,2,2
Ko BARRETOVÁ,M5,F,2,2
Ko BARRETTOVÁ,M6,F,2,2
Klára PANZANOVÁ,M5,F,2,1
Klaus DODDS,M3,M,2,1
Michael TJERNSTROM,M3,M,2,1
Kellie LEIGHOVÁ,M5,F,2,1
David CLARK,M5,M,2,2
Matúš VALLO,M6,M,2,2
Chuck SCHUMER,M6,M,2,2
Christopher KOJM,M6,M,2,2
Chua ČCHUN JING,M1,F,2,2
Chua ČCHUNG JING,M1,F,2,2
Christian STEURER,M5,M,2,1
Christina KOCHOVÁ,M2,F,2,2
Tim LANG,M3,M,2,2
Tamsin WALKEROVÁ,M2,F,2,2
Claudia FUSANI,M1,F,2,1
Claudia KEMFERTOVÁ,M5,F,2,1
Claudio CASTRO,M6,M,2,2
Claure NULLISOVÁ,M1,F,2,2
Clay BOUDREAUX,M2,M,2,1
Kullawit LIMČULARAT,M3,M,2,2
Kromě USA,?,M,2,2
Krzysztof BLAŽEJCZYK,M3,M,2,2
Tim SMIT,M5,M,2,2
Světlana ŠVARCOVÁ,M6,F,2,1
Sáričková BENEŠOVÁ,M1,F,2,2
Susanne RASMUSSENOVÁ,M5,F,2,1
Svenja SCHULZEOVÁ,M6,F,2,2
Daisy JEFFREYOVÁ,M2,F,2,2
Dale MCLEAN,M2,F,2,2
Dalia GRYBAUSKAITÉOVÁ,M6,F,2,2
Ctirad WEISSMANN,M5,M,2,1
Matyáš ŠANDA,M5,M,2,2
Matthew SPENCER,M5,M,2,1
Martina HÁJKOVÁ,M3,F,2,1
Tereza PROKOPOVÁ,M3,F,2,1
Ted CRUZ,M6,M,2,2
Tania CASALOVÁ,M5,F,2,1
Tanya TRUJILLOVÁ,M5,F,2,2
Tayyip ERDOGAN,M6,M,2,2
Mette FREDRIKSENOVÁ,M6,F,2,2
Melinda GATESOVÁ,M2,F,2,2
Cyril URBÁNEK,M5,M,2,1
Lukáš RYCHTECKÝ,M2,M,2,1
Aneta LEDNOVÁ,M1,F,2,2
Václav HORÁK,M5,M,2,1
Andreas CARLGREN,M6,M,2,2
Vítězslav KOMENDA,M1,M,2,1
Václav VOSTRADOVSKÝ,M6,M,2,1
Akgun ILHANOVÁ,M3,F,2,1
Jan DOLEŽAL,M3,M,2,1
Tom BALDEWEJ,M2,M,2,2
Jan BLAHŮT,M3,M,2,1
Pavel NOVOTNÝ,M6,M,2,2
Pavel MELKA,M5,M,2,2
Jarmila BARTÁKOVÁ,M2,F,2,1
Jarmila STAWARITSCHOVÁ,M6,F,2,1
Jarmila STAWARITSOVÁ,M6,F,2,1
Janet REDMANOVÁ,?,F,2,2
Jana POŠTOVÁ,M1,F,2,2
Jan BUKOVSKÝ,M1,M,2,2
Vladimír BUŘT,M6,M,2,1
Bas EICHOUT,M6,M,2,2
Anna LEHKÁ,M5,F,2,2
Anna JOHANSSONOVÁ,M6,F,2,2
Andy RIVKIN,M3,M,2,1
Anděla UHLÍŘOVÁ,M2,F,2,1
Anes PODIČ,M5,M,2,1
Ludmila PALÁTOVÁ,M6,F,2,1
Lukáš KUNST,M2,M,2,1
Markéta PEKAROVÁ ADAMOVÁ,M6,F,2,2
Markus REX,M6,M,2,1
Mariusz MAJ,M2,M,2,2
Mark FAHERTY,?,M,2,1
Marika KUPKOVÁ,M5,F,2,1
Marilyn BRANDTOVÁ,M3,F,2,1
Mario DRAGHI,M6,M,2,2
Lukáš VLČEK,M5,M,2,1
Lukáš ZÁRUBA,M5,M,2,1
Ludvík DROBNÝ,M6,M,2,1
Marc AYRAULT,M6,M,2,2
Patricia ESPINOSOVÁ,M6,F,2,2
Šprinz BEZPP,M6,M,2,1
Jan SOUKUP,M2,M,2,1
Jan SAUDEK,M2,M,2,1
Jan RICHTER,M6,M,2,1
Jan POHL,M5,M,2,1
Štěpán SEDLÁČEK,M1,M,2,1
Mark RIEDER,M3,M,2,1
Jan PIŇOS,M1,M,2,2
Jan ZÁVĚŠICKÝ,M5,M,2,2
Štěpán KYJOVSKÝ,M5,M,2,1
Marcel RAYNAUD,M2,M,2,1
Jan VOPRAVIL,M3,M,2,1
Jan SVEJKOVSKÝ,M1,M,2,1
Jan SVOBODA,M5,M,2,1
Jan SÁGL,M6,M,2,1
Jan PŘÍHODA,M1,M,2,1
Vojtěch KUNA,M5,M,2,1
Vlastimil VÁLEK,M6,M,2,2
Vojtěch ADAM,M6,M,2,2
Luděk KŘEPELKA,M2,M,2,2
Vladimír KRÁČALÍK,M6,M,2,1
Vladimír PÍSKALA,M1,M,2,2
Vladimír JANATA,M5,M,2,2
Vojtěch SALAJKA,M2,M,2,1
Manfred MANNHEIM,M2,M,2,2
Vratislav MYNÁŘ,M6,M,2,2
Antonín ŠIMŮNEK,M1,M,2,1
Anthony COSTELLO,M3,M,2,1
Malu DREYEROVÁ,M6,F,2,2
Magnus GUDMUNDSSON,M5,M,2,1
Marek LAHODA,M3,M,2,1
Aaron DAVIS,M3,M,2,1
Margaret WILLIAMSOVÁ,M5,F,2,2
Marek SLÁMA,M2,M,2,1
Vojtěch ZAPLETAL,M5,M,2,1
Lion NASUTION,M6,M,2,2
Jana KUČEROVÁ,M1,F,2,1
Pascal PERRINEAU,M3,M,2,2
Patricia ESPINOSA,M6,F,2,2
Pan WANG,M2,M,2,1
Paolo GENTILONI,M6,M,2,2
Pam GARTONOVÁ,M2,F,2,1
Pan HAVLAS,M2,M,2,2
Vladimír KOŘEN,M6,M,2,1
Jan KOPP,M3,M,2,1
Jan KOZEL,M5,M,2,1
Pavel KARAS,M1,M,2,1
Jan HODOVSKÝ,M5,M,2,2
Jaroslav DOLEŽEL,M3,M,2,1
Jaroslav DVOŘÁK,M6,M,2,1
Pavla SKŘIVÁNKOVÁ,M3,F,2,1
Pavla HOBÍKOVÁ,M1,F,2,1
Jan KOZINA,M5,M,2,1
Tomalský BEZPP,M6,M,2,1
Tomáš SALOV,M1,M,2,2
Tomáš MYSLÍKOVJAN,M5,M,2,1
Tomáš NEČAS,M5,M,2,1
Tomáš PFEILEF,M5,M,2,1
Cesar MUNOZ,M5,M,2,1
Martin HAVLÍČEK,M2,M,2,1
Martin HRUBÝ,M3,M,2,2
Lolepo TETILE,M2,M,2,2
Viktor TŘEBICKÝ,M5,M,2,1
Virginia ROSEOVÁ SEAGALOVÁ,M6,F,2,2
Bir LAMA,M6,M,2,2
Bisbal BOTERO,M2,M,2,2
Uri SCHOR,M1,M,2,2
Martin LUDVÍK,M6,M,2,2
Martin LULÁK,M1,M,2,1
Martin KRUŠINA,M5,M,2,1
Martin KRAMEŠ,M6,M,2,1
Martin BÚTORA,M3,M,2,1
Arnold SCHWARZENEGGER,M6,M,2,2
Asli OZKIMIROVÁ,M3,F,2,2
Audun SALTE,M2,M,2,1
Vladimír STŘÍBRNÝ,M6,M,2,1
Vladimír VALEŠ,M6,M,2,1
Lucie SMOLKOVÁ,M5,F,2,2
Lucy CHANOVÁ,M5,F,2,1
Lucie CHLEBKOVÁ,M5,F,2,1
Jacinda ARDERNOVÁ,M6,F,2,2
Barbora SILNÁ,M1,F,2,1
Barbora LOSKOTOVÁ,M3,F,2,1
Vjačeslav VOLODIN,M6,M,2,2
Martin CALLANAN,M5,M,2,1
Maroš ŠEFČOVIČ,M6,M,2,2
Bill PEDUTO,M6,M,2,2
Betina DUROVNIOVÁ,M3,F,2,1
Berit REISS ANDERSENOVÁ,M6,F,2,1
Barbara HENDRICKSOVÁ,M6,F,2,2
Jadwiga EMILEWICZOVÁ,M6,F,2,2
Ivo PAVLÍK,M5,M,2,1
Pavel ŠPRINZ,M6,M,2,1
Pavel ŠTĚPÁNEK,M2,M,2,1
Pavel ŠAMONIL,M3,M,2,1
Linda DOSTÁLKOVÁ,M5,F,2,2
Valentin LEVKOVSKIJ,M2,M,2,1
Bohuslav JANDÁČEK,M2,M,2,1
Aurora RANGELOVÁ,M2,F,2,2
Bohdan LOJKA,M5,M,2,1
Blanka KOTRLOVÁ,M6,F,2,2
Umberto CELLA,M3,M,2,1
Tomáš TRNKA,M5,M,2,2
Tomáš TUHÝ,M2,M,2,2
Tomáš RENDLA,M2,M,2,1
Vasilij ROGATYČ,M2,M,2,2
Vendula BENEŠOVÁ,M2,F,2,2
Valérie MASSON DELMOTTEOVÁ,M6,F,2,2
Bohuslav SVOBODA,M6,M,2,2
Francios ENGELBRECHT,M3,M,2,2
Filip ZDRAŽIL,M1,M,2,2
Podle NKÚ,?,F,2,2
Pojezný KSČM,M6,M,2,1
Petr VOTRUBA,M2,M,2,2
Petr VOŘÍŠEK,M6,M,2,1
Pradipta BARUAH,M5,F,2,2
Princ CHARLES,M6,M,2,1
Dany KOLSKÝ,M2,M,2,2
Rainer ROEHE,M3,M,2,2
Radoslav NĚMEC,M3,M,2,1
Radovan KVAPIL,M2,M,2,1
Radovan SRBA,M5,M,2,1
Eva JENÍKOVÁ,M3,F,2,1
Erich PRUSEK,M2,M,2,1
Johannes BREIVIK,M6,M,2,1
John ENTSMINGER,M5,M,2,2
Frank BAINIMARAMA,M6,M,2,2
Mitch MCCONNELL,M5,M,2,2
Mitchell PERRY,M2,M,2,2
Miroslav TRNKA,M5,M,2,1
Petr OLYŠAR,M5,M,2,2
Generation EU,?,M,2,2
Georg GRUNJES,M5,M,2,2
George DURNER,M3,M,2,1
Gašpar ČAMLÍK,M3,M,2,1
Joachim SCHNELLNHUBER,M3,M,2,1
Galerie PLATO,?,F,2,2
Miroslav HOCHVALD,M6,M,2,2
Miroslav BOBEK,M5,M,2,2
Radek STROUHAL,M6,M,2,1
Radek HOŘÁK,M5,M,2,2
Pierre CHASSERAY,M5,M,2,2
Piráti OSN,?,M,2,1
Philippe WAECHTER,M5,M,2,2
Joel HARPER,M3,M,2,1
Gaelle DAHERON,M5,F,2,2
Edward KING,M3,M,2,1
Ejtan SAT,M2,M,2,1
Elias BARTICEVIC,M5,M,2,2
Rami MIZRACHI,M5,M,2,2
Raylene BROWNOVÁ,M2,F,2,1
Rae HAVREYOVÁ,M5,F,2,1
Milan GRYNDLER,M3,M,2,2
Richard NETOPIL,M2,M,2,1
Miloš BARTÁK,M3,M,2,2
Rex TILLERSON,M5,M,2,2
Ricardo JANA,M3,M,2,2
Else SEEBURGEROVÁ,M2,F,2,2
Hana TOMAŠTÍKOVÁ,M1,F,2,2
Jiří DUSPIVA,M5,M,2,1
Jiří BOUČEK,M6,M,2,1
Jimmy CARTER,M6,M,2,1
Jindřich MACHALA,M1,M,2,1
Reportéři ČT,?,M,2,2
Milan POLEDNÍK,M3,M,2,1
Rafal KMIECIK,M5,M,2,2
Rafal TRZASKOSKI,M6,M,2,2
Ewa BIEŇKOWSKÁ,M3,F,2,1
Eva ŠELEPOVÁ,M1,F,2,2
Přemysl NĚMEC,M6,M,2,1
Přemysl RABAS,M5,M,2,2
Miloš URBAN,M5,M,2,1
Emira HOLMEY,M1,F,2,1
Jolka KRÁSNÁ,M1,F,2,2
Radek ORT,M2,M,2,1
Radek PASTRŇÁK,M2,M,2,2
Falcon SCOTT,M2,M,2,1
Ferdinand DUDENH FFER,M5,M,2,2
Fabien MOREAU,M2,M,2,1
Eva ŠTOLCOVÁ,M2,F,2,1
Ewa BIE KOWSKÁ,M3,F,2,1
Ema OSTŘÍŽKOVÁ,M5,F,2,2
Joquín ROA,M6,M,2,2
Alistair PIKE,M3,M,2,2
Aleš FARDA,M5,M,2,1
Aleš VAVŘINA,M2,M,2,1
Zdeněk VACEK,M2,M,2,1
Lukáš KOPECKÝ,M1,M,2,1
Lukáš KOVÁR,M2,M,2,1
Marie HORÁLKOVÁ,M2,F,2,1
Marie KLISOVÁ,M2,F,2,1
Petr MARADA,M2,M,2,1
Maria NEIROVÁ,M5,F,2,2
Maria SASSOLI,M6,F,2,2
Malcolm TURNBULL,M6,M,2,1
Alexander HUG,M5,M,2,2
Zdeněk MAHOVSKÝ,M6,M,2,1
Yves PLANCHEREL,M3,M,2,2
Za ČSSD,?,F,2,2
Wu ČCHIANG,M3,M,2,1
Marie MAZALOVÁ,M2,F,2,1
Členové KDU ČSL,?,M,2,2
Adam FENECH,M3,M,2,1
Paul THOMAS,M5,M,2,1
Jan WIESNER,M6,M,2,2
Jan WOERNER,M5,M,2,1
Václav ČERNOHOSKÝ,M1,M,2,1
Jan LUKAVSKÝ,M3,M,2,1
Zdeněk VOLEJNÍK,M6,M,2,1
Alžběta KRÁLOVÁ,M3,F,2,2
Jan TOMALSKÝ,M6,M,2,1
Ústavní SOUD,?,M,2,1
Zuzana ŠEBELÍKOVÁ,M5,F,2,1
Zuzana HODKOVÁ,M1,F,2,2
Albert ASSÉRAF,M5,M,2,2
Al SHARPTON,M6,M,2,2
Zachraňme ČSSD,?,F,2,1
Zbigniew ZIOBRO,M6,M,2,2
Alvina PÉREZOVÁ,M2,F,2,2
Yitzhak PAZ,M5,M,2,1
Monika HERTLOVÁ,M5,F,2,1
Petr KORHON,M2,M,2,1
Petr KLÁSEK,M6,M,2,1
Gunnar VAGSTEDT,M5,M,2,2
Franziska WESSELOVÁ,M5,F,2,1
Frauke PETRYOVÁ,M6,F,2,2
Fred SPOOR,M3,M,2,2
František SVOBODA,M5,M,2,1
William PATZERT,M3,M,2,2
František JEMELKA,M1,M,2,2
Miroslav TESAŘ,M3,M,2,1
Jiří PAZDERKA,M3,M,2,1
Joe WILLIAMS,M5,M,2,1
Petr ŠLEGR,M5,M,2,1
Petr ZAJÍC,M5,M,2,1
Frida BENGTSSONOVÁ,M5,F,2,2
Fuat CANBOLAT,M5,M,2,1
František NĚMEC,M5,M,2,1
Winfried KRETSCHMANN,M6,M,2,2
Zsuzsanna JAKAB,M5,F,2,1
Patrik EICHLER,M1,M,2,1
Paris STEFANOUDIS,M5,M,2,2
Pascal CANFIN,M6,M,2,2
Jan FREIDIINGER,M5,M,2,1
Jan HELEŠIC,M5,M,2,1
Zlatuše VIAČKOVÁ,M1,F,2,1
Muhammad SÁD,M2,M,2,2
Pavel DOLEČEK,M5,M,2,2
Jan ŠÍMA,M5,M,2,1
Jana BROŽOVÁ,M2,F,2,2
Jiří KLÁPŠTĚ,M5,M,2,2
Guy STEAR,M5,M,2,2
Gregory DEBRUYNE,M2,M,2,1
Grigorij MESEŽNIKOV,M6,M,2,1
González IŇÁRRITU,M2,M,2,2
Greens EFA,?,M,2,1
Pavel HOBZA,M3,M,2,2
Sophie BACKSENOVÁ,M2,F,2,2
Soňa VALUCHOVÁ,M5,F,2,1
David KLIMEŠ,M5,M,2,1
David GROS,M5,M,2,1
Karel PTÁČEK,M6,M,2,1
Karel BŘEZINA,M2,M,2,1
Kamil LÁSKA,M3,M,2,2
Kamil PARUCH,M5,M,2,1
Jindřich ŠÍDLO,M5,M,2,1
Michal JARRAUD,M6,M,2,2
Siračaj ARUNRUGSTIČAJ,M3,M,2,2
Shawn FARRY,M3,M,2,1
Serkan COSKUN,M2,M,2,2
Severovýchod USA,?,M,2,2
Shane FITZSIMMONS,M5,F,2,2
Serge WICH,M3,F,2,1
David ČERNÝ,M2,M,2,1
Michal JAKOUBEK,M2,M,2,1
Mugu UTUAQ,M2,M,2,1
Muhammad NAŠÍD,M6,M,2,2
Gergely KARÁCSONY,M6,M,2,2
Gero NEUGEBAUER,M3,M,2,2
Giuseppe CONTE,M6,F,2,2
Heather NAUERTOVÁ,M1,F,2,1
Heinz GIES,M2,M,2,2
Michel BARNIER,M6,M,2,2
Sammie APLINOVÁ,M2,F,2,1
Sally DAVIESOVÁ,M6,F,2,1
Saar SAFRA,M5,M,2,1
Jérémie JAEGER,M5,F,2,1
Justin TRUDEA,M6,M,2,2
Sarah PORTEROVÁ,M5,F,2,2
Saskia ESKENOVÁ,M6,F,2,1
Satya NADELLA,M5,F,2,1
Divák MD,M2,M,2,2
Der BELLEN,M6,M,2,1
Salik HARD,M5,M,2,2
Ivo ANDRLE,M5,M,2,1
Ivana MARIÁNKOVÁ,M5,F,2,1
Ivan SLIMÁK,M5,M,2,1
Ivan STURROCK,M2,M,2,1
Jaroslav ADÁMEK,M5,M,2,1
Jaroslav BEDNAŘÍK,M6,M,2,1
Herve QUENOL,M3,F,2,1
Hervé GARNIER,M5,M,2,2
David RYČL,M5,M,2,1
Henry STRASEN,M6,M,2,1
Petr BROŽ,M3,M,2,1
Nicoletta ARTUSOVÁ,M2,F,2,2
Hubert VALÁŠEK,M5,M,2,1
Karolína BAUEROVÁ,M2,F,2,2
