name,type_final,gender_final,n_mentions,n_docs
Jan KAVAN,M3,M,12,3
Jan CINA,M2,M,12,1
Jorga HRUŠKOVÁ,M1,F,12,8
Vladimír MANA,M5,M,12,1
Tomas KULIDAKIS,M3,M,12,1
Karel ŠŤASTNÝ,M3,M,12,1
Markéta ZEZULKOVÁ,M3,F,12,1
Martin MARGOLD,M3,M,12,2
Tomáš ZDECHOVSKÝ,M6,M,12,4
Lucie MOHYLOVÁ,M1,F,12,1
Ondřej ŠIMEČEK,M1,M,12,3
Patrik NACHER,M6,M,12,2
Pavel KAPLER,M5,M,12,5
Pavel KYSILKA,M5,M,12,1
Julia BRYANOVÁ,M6,F,12,1
Pavel DRAHOVZAL,M6,M,12,1
Šárka KROSOSKOVÁ,M1,F,12,2
Aneta SAVAROVÁ,M1,F,12,11
Václav DVOŘÁK,M5,M,12,2
Michal KUČERA,M6,M,12,6
Pavel SCHR TTER,M1,M,12,3
Jiří PŘIBÁŇ,M3,M,12,2
Ladislav VARADZIN,M3,M,11,2
Josef KOTT ANO,M6,M,11,1
Laurent FABIUS,M6,M,11,11
Ivan BREZINA,M3,M,11,1
Václav BAŽANT,M3,M,11,2
Tomáš NAHODIL,M5,M,11,1
Tomáš HAAS,M1,M,11,1
Libor TKÁČ,M5,M,11,1
Ciaran KELLY,M6,M,11,1
Dana FEMINOVÁ,M5,F,11,1
Kateřina GOLASOVSKÁ,M1,F,11,3
Milan CHOVANEC,M6,M,11,3
Leslie SKLAIR,M3,M,11,1
Ondřej SCHNEIDER,M1,M,11,2
Miloš VYSTRČIL,M5,M,11,1
Libor AMBROZEK,M6,M,11,4
Lea SUROVCOVÁ,M1,F,11,3
Leo LUZAR,M6,M,11,3
Pavel ŠOLC,M5,M,11,3
Pavel PAFKO,M6,M,11,1
Petr DVOŘÁK,M1,M,11,2
Jiří VODIČKA,M3,M,11,2
Garton ASH,M3,M,11,1
Jiří KLICPERA,M3,M,11,1
Jana KRUTÁKOVÁ,M6,F,11,3
Jan EICHLER,M5,M,11,1
Monika OBORNÁ,M6,F,11,1
Soňa JONÁŠOVÁ,M5,F,11,2
Ota MACHÁČEK,M2,M,11,1
Jaroslav ROŽNOVSKÝ,M5,M,11,1
Josef ČERMÁK,M5,M,11,1
Michel PEROTTINO,M5,M,11,1
Jukka PESOLA,M6,M,11,1
Jan KALAŠ,M6,M,11,1
Štěpán KŘEČEK,M5,M,11,2
