name,firstname,surname,role_raw,gender,type,n_mentions,n_docs,type_final,source,gender_final
Ivan PILNÝ,Ivan,PILNÝ,bývalý ministr financí,M,M6,9,1,M6,rule,M
Aleš ERBER,Aleš,ERBER,lesnický poradce člen,M,M5,9,2,M5,rule,M
Ondřej JONÁŠ,Ondřej,JONÁŠ,investiční bankéř,M,?,9,2,M5,llm,M
Ondřej BENEŠÍK,Ondřej,BENEŠÍK,předseda výboru pro evropské záležitosti,M,M6,9,1,M6,rule,M
Ivan ADAMEC,Ivan,ADAMEC,lídr kandidátky,M,M6,9,1,M6,rule,M
Dita CHARANZOVÁ,Dita,CHARANZOVÁ,místopředsedkyně,F,M6,9,2,M6,rule,F
Magda ŠULCOVÁ,Magda,ŠULCOVÁ,redaktorka,F,M1,9,1,M1,rule,F
Lukáš BARTOŇ,Lukáš,BARTOŇ,místopředseda,M,M6,9,1,M6,rule,M
Marek HILŠER,Marek,HILŠER,senátor,M,M6,9,1,M6,rule,M
Alexandr AČ,Alexandr,AČ,vědecký pracovník,M,M3,9,2,M3,rule,M
Zdeněk TŮMA,Zdeněk,TŮMA,ekonom bývalý guvernér,M,M5,9,1,M5,rule,M
Zdeněk KOVÁŘÍK,Zdeněk,KOVÁŘÍK,nový místostarosta,M,M6,9,1,M6,rule,M
Marcela VLADAŘOVÁ,Marcela,VLADAŘOVÁ,k anorexii ji přivedl zdravý,F,?,9,1,?,llm,F
Margita BALAŠTÍKOVÁ,Margita,BALAŠTÍKOVÁ,předsedkyně podvýbor pro potravinářství,F,M6,9,1,M6,rule,F
Jaroslav RYGL,Jaroslav,RYGL,ředitel,M,M5,8,1,M5,rule,M
Andrej BABIŠ,Andrej,BABIŠ,český premiér,M,?,8,5,M6,llm,M
Ivan HLADÍK,Ivan,HLADÍK,pracuje se seniory,M,?,8,1,M2,llm,M
Yvonna GAILLYOVÁ,Yvonna,GAILLYOVÁ,ředitelka ekologického institutu,F,M5,8,1,M5,rule,F
Zuzana TEJNICKÁ,Zuzana,TEJNICKÁ,redaktorka,F,M1,8,2,M1,rule,F
Marcela MACHOVÁ,Marcela,MACHOVÁ,specialistka na pojištění,F,M5,8,1,M5,rule,F
Dominika VŘEŠŤÁLOVÁ,Dominika,VŘEŠŤÁLOVÁ,redaktorka,F,M1,8,2,M1,rule,F
Robert WATSON,Robert,WATSON,předseda,M,M6,8,4,M6,rule,M
Vítězslav HRUŠKA,Vítězslav,HRUŠKA,specialista na daně partner,M,M5,8,1,M5,rule,M
Libor AMBROZEK,Libor,AMBROZEK,bývalý ministr životního prostředí,M,M6,8,3,M6,rule,M
Anna HUBÁČKOVÁ,Anna,HUBÁČKOVÁ,kandidátka na ministryni životního prostředí,F,M6,8,8,M6,rule,F
Jeremy CLARKSON,Jeremy,CLARKSON,moderátor,M,M1,8,1,M1,rule,M
Romana LEHMANNOVÁ,Romana,LEHMANNOVÁ,redaktorka,F,M1,8,2,M1,rule,F
Rudolf JINDRÁK,Rudolf,JINDRÁK,náměstek pro řízení sekce právní,M,M5,8,1,M5,rule,M
Jan BANOUT,Jan,BANOUT,děkan,M,M5,8,1,M5,rule,M
Barbora MĚKOTOVÁ,Barbora,MĚKOTOVÁ,redaktorka,F,M1,8,2,M1,rule,F
Bjorn LOMBORG,Bjorn,LOMBORG,dánský statistik,M,M3,8,1,M3,rule,M
Martin PIVOKONSKÝ,Martin,PIVOKONSKÝ,ředitel,M,M5,8,1,M5,rule,M
Martin NOVÁK,Martin,NOVÁK,vedoucí regionálního předpovědního pracoviště,M,M5,8,3,M5,rule,M
Charles MICHEL,Charles,MICHEL,předseda,M,M6,8,8,M6,rule,M
Vladimír ŠPIDLA,Vladimír,ŠPIDLA,bývalý premiér,M,M6,8,1,M6,rule,M
Vladimíra LESENKÁ,Vladimíra,LESENKÁ,lídryně kandidátky,F,M6,8,1,M6,rule,F
Petr KOZLÍČEK,Petr,KOZLÍČEK,redaktor,M,M1,8,2,M1,rule,M
Petr HLADÍK,Petr,HLADÍK,místopředseda strany,M,M6,8,2,M6,rule,M
Jan VALENTIN,Jan,VALENTIN,odborník na silniční stavby,M,M3,8,1,M3,rule,M
Jiří PETROVIČ,Jiří,PETROVIČ,moderátor,M,M1,8,6,M1,rule,M
Radim FIALA,Radim,FIALA,místopředseda hnutí poslanec,M,M6,8,1,M6,rule,M
Josef SOUKUP,Josef,SOUKUP,agroekolog fakulta agrobiologie,M,?,8,1,M3,llm,M
Jan LIPAVSKÝ,Jan,LIPAVSKÝ,odborník na bezpečnost a zahraniční,M,M3,8,1,M3,rule,M
Jan LIPAVSKÝ,Jan,LIPAVSKÝ,poslanec,M,M6,8,1,M6,rule,M
Barack OBAMA,Barack,OBAMA,prezident,M,M6,8,7,M6,rule,M
Martin MAŘÍK,Martin,MAŘÍK,redaktor,M,M1,8,1,M1,rule,M
Klára JEŠINOVÁ,Klára,JEŠINOVÁ,redaktorka,F,M1,8,3,M1,rule,F
Vojtěch JANSA,Vojtěch,JANSA,náměstek ředitele,M,M5,8,1,M5,rule,M
Michal KUČERA,Michal,KUČERA,místopředseda strany,M,M6,8,2,M6,rule,M
Petr ŠTĚPÁNEK,Petr,ŠTĚPÁNEK,předseda strany,M,M6,8,1,M6,rule,M
Petr ŠÍPEK,Petr,ŠÍPEK,entomolog,M,M3,8,1,M3,rule,M
Karel KOVANDA,Karel,KOVANDA,bývalý velvyslanec,M,M6,8,1,M6,rule,M
Patrik MLYNÁŘ,Patrik,MLYNÁŘ,ředitel sekce lesního hospodářství,M,M5,8,1,M5,rule,M
Petr DOLÍNEK,Petr,DOLÍNEK,náměstek primátorky hlavního města,M,M5,8,1,M5,rule,M
Antonín OSIČKA,Antonín,OSIČKA,předseda,M,M6,8,5,M6,rule,M
Kristalina GEORGIEVOVÁ,Kristalina,GEORGIEVOVÁ,místopředsedkyně,F,M6,8,1,M6,rule,F
Donald TRUMP,Donald,TRUMP,republikánský kandidát na prezidenta,M,M6,8,8,M6,rule,M
Oldřich HAIČMAN,Oldřich,HAIČMAN,ředitel,M,M5,8,1,M5,rule,M
Bohumír JANSKÝ,Bohumír,JANSKÝ,hydrolog geolog,M,M3,8,1,M3,rule,M
Bohumír JÁNSKÝ,Bohumír,JÁNSKÝ,profesor katedra fyzické geografie a,M,M3,8,1,M3,rule,M
Vojtěch MUNZAR,Vojtěch,MUNZAR,místopředseda podvýboru pro energetiku,M,M6,8,1,M6,rule,M
Jakub LINKA,Jakub,LINKA,redaktor,M,M1,8,2,M1,rule,M
Jan KRAJHANZL,Jan,KRAJHANZL,sociální a environmentální psycholog,M,?,8,1,M3,llm,M
Bronislav BECHNÍK,Bronislav,BECHNÍK,redakce obnovitelných energií,M,?,8,1,M1,llm,M
Petr MÁRA,Petr,MÁRA,youtuber,M,?,8,1,M2,llm,M
Petr LEYER,Petr,LEYER,právník,M,?,8,1,M5,llm,M
Milan URBAN,Milan,URBAN,bývalý ministr průmyslu a obchodu,M,M6,8,2,M6,rule,M
Jiří BĚHOUNEK,Jiří,BĚHOUNEK,poslanec,M,M6,8,2,M6,rule,M
Jiří CRHA,Jiří,CRHA,radní pro dopravu,M,M6,8,1,M6,rule,M
Andrea ČANDOVÁ,Andrea,ČANDOVÁ,redaktorka,F,M1,8,3,M1,rule,F
Jozef PECHO,Jozef,PECHO,klimatolog,M,M3,8,3,M3,rule,M
Tomáš INDREI,Tomáš,INDREI,redaktor,M,M1,8,1,M1,rule,M
Tomáš PROUZA,Tomáš,PROUZA,bývalý státní tajemník pro evropské,M,M6,8,1,M6,rule,M
Tomáš LERCH,Tomáš,LERCH,ředitel dopravní policie,M,M5,8,1,M5,rule,M
Jana FILIPOVIČOVÁ,Jana,FILIPOVIČOVÁ,starostka obce,F,M6,8,1,M6,rule,F
René NEDĚLA,René,NEDĚLA,náměstek pro řízení sekce energetiky,M,M5,8,1,M5,rule,M
Nemeškalová ROSINOVÁ,Nemeškalová,ROSINOVÁ,právnička,F,?,8,2,M5,llm,F
Monika FLEISCHMANNOVÁ,Monika,FLEISCHMANNOVÁ,redaktorka redaktorka,F,M1,8,2,M1,rule,F
Jiří MACHÁČEK,Jiří,MACHÁČEK,archeolog,M,M3,8,1,M3,rule,M
Hnutí DUHA,Hnutí,DUHA,jejich výzvu podepsalo,M,?,8,1,?,llm,M
Hynek KMONÍČEK,Hynek,KMONÍČEK,velvyslanec,M,M6,8,2,M6,rule,M
Pavel ŠOLC,Pavel,ŠOLC,náměstek ministra průmyslu a obchodu,M,M5,8,1,M5,rule,M
Ivan BARTOŠ,Ivan,BARTOŠ,předseda,M,M6,8,2,M6,rule,M
Jaroslav HANÁK,Jaroslav,HANÁK,prezident,M,M6,8,2,M6,rule,M
Miroslav KUNDRATA,Miroslav,KUNDRATA,ředitel,M,M5,8,2,M5,rule,M
Pavel PUNČOCHÁŘ,Pavel,PUNČOCHÁŘ,sekce vodního hospodářství ministerstvo zemědělství,M,?,8,1,M6,llm,M
Ivan PILNÝ,Ivan,PILNÝ,zastupitel hl,M,M6,8,1,M6,rule,M
Marian JUREČKA,Marian,JUREČKA,člen podvýboru pro energetiku,M,M6,8,1,M6,rule,M
Zdeněk VENERA,Zdeněk,VENERA,ředitel,M,M5,8,2,M5,rule,M
Miroslava NERADOVÁ,Miroslava,NERADOVÁ,organizátorka petice proti zákazu kouření,F,?,8,1,M5,llm,F
Miroslav TRNKA,Miroslav,TRNKA,bioklimatolog portál,M,M3,8,2,M3,rule,M
Kateřina KONEČNÁ,Kateřina,KONEČNÁ,europoslankyně,F,M6,8,2,M6,rule,F
Kateřina FERENČÍKOVÁ,Kateřina,FERENČÍKOVÁ,spolupracovnice,F,M5,8,1,M5,rule,F
Michal BROŽA,Michal,BROŽA,šéf kanceláře,M,M5,8,1,M5,rule,M
Jan SECHTER,Jan,SECHTER,náměstek ministra dopravy,M,M5,8,1,M5,rule,M
Ondřej HOUSKA,Ondřej,HOUSKA,redaktor,M,M1,8,1,M1,rule,M
Františka ČÍŽKOVÁ,Františka,ČÍŽKOVÁ,módní kritička,F,?,8,1,M1,llm,F
Petr PAŘIL,Petr,PAŘIL,biolog,M,M3,8,1,M3,rule,M
Jan HERZMANN,Jan,HERZMANN,analytik,M,M5,8,1,M5,rule,M
Veronika KYNČLOVÁ,Veronika,KYNČLOVÁ,redaktorka,F,M1,8,1,M1,rule,F
Anna BAHNEROVÁ,Anna,BAHNEROVÁ,redaktorka,F,M1,7,1,M1,rule,F
Milan ŠTECH,Milan,ŠTECH,katedra botaniky,M,M3,7,1,M3,rule,M
Jeroným TEJC,Jeroným,TEJC,předseda poslaneckého klubu strany,M,M6,7,1,M6,rule,M
Jevhenija VACHNIČENKO,Jevhenija,VACHNIČENKO,redaktorka,F?,M1,7,2,M1,rule,F
Miroslav MAREŠ,Miroslav,MAREŠ,expert na extremismus,M,M5,7,1,M5,rule,M
Lukáš KAUCKÝ,Lukáš,KAUCKÝ,český velvyslanec v,M,?,7,1,M6,llm,M
Magda VÁŠÁRYOVÁ,Magda,VÁŠÁRYOVÁ,poslankyně,F,M6,7,1,M6,rule,F
Yngvar BRENNA,Yngvar,BRENNA,spolupracovník,M,M5,7,1,M5,rule,M
Marcela DURASOVÁ,Marcela,DURASOVÁ,redaktorka,F,M1,7,1,M1,rule,F
David ČERNÝ,David,ČERNÝ,etik filozof,M,?,7,1,M3,llm,M
Miroslav ZÁMEČNÍK,Miroslav,ZÁMEČNÍK,hlavní analytik týdeníku,M,M5,7,1,M5,rule,M
Alexandr VONDRA,Alexandr,VONDRA,místopředseda strany,M,M6,7,1,M6,rule,M
Magdaléna TROJANOVÁ,Magdaléna,TROJANOVÁ,redaktorka,F,M1,7,1,M1,rule,F
Vít RAKUŠAN,Vít,RAKUŠAN,předseda hnutí,M,M6,7,7,M6,rule,M
Hoesung LEE,Hoesung,LEE,předseda,M,M6,7,7,M6,rule,M
Jaroslav LOBKOWICZ,Jaroslav,LOBKOWICZ,poslanec zástupce,M,M6,7,1,M6,rule,M
Jaroslav HOLÍK,Jaroslav,HOLÍK,místopředseda výbor pro životní prostředí,M,M6,7,1,M6,rule,M
Miroslav TOMAN,Miroslav,TOMAN,ministr zemědělství,M,M6,7,7,M6,rule,M
Jana HORKÁ,Jana,HORKÁ,redaktorka,F,M1,7,1,M1,rule,F
Jana BARTŮŇKOVÁ,Jana,BARTŮŇKOVÁ,redaktorka,F,M1,7,2,M1,rule,F
Pavel SVOBODA,Pavel,SVOBODA,bývalý europoslanec,M,M6,7,1,M6,rule,M
Lukáš POP,Lukáš,POP,meteorolog,M,M3,7,1,M3,rule,M
Al GORE,Al,GORE,bývalý americký viceprezident,M,M6,7,5,M6,rule,M
Lukáš VRÁBLÍK,Lukáš,VRÁBLÍK,katedra betonových a zděných konstrukcí,M,M3,7,1,M3,rule,M
Tomáš POSPÍŠIL,Tomáš,POSPÍŠIL,pověřený řízením podniku,M,?,7,2,M5,llm,M
Michael CRAMER,Michael,CRAMER,předseda výboru pro dopravu a,M,M6,7,1,M6,rule,M
Vědunka LUNARDI,Vědunka,LUNARDI,spolupracovnice,F?,M5,7,1,M5,rule,F
Jiří BENÁČEK,Jiří,BENÁČEK,starosta,M,M6,7,1,M6,rule,M
Sean SPICER,Sean,SPICER,mluvčí,M,M1,7,7,M1,rule,M
David HLISNIKOVSKÝ,David,HLISNIKOVSKÝ,biolog,M,M3,7,1,M3,rule,M
Miloš ČERMÁK,Miloš,ČERMÁK,šéfredaktor iHNed,M,M5,7,1,M5,rule,M
Martina BACÍKOVÁ,Martina,BACÍKOVÁ,zakladatelka,F,M5,7,1,M5,rule,F
Justus PAULSEN,Justus,PAULSEN,starosta obce,M,M6,7,2,M6,rule,M
Petr SOKOL,Petr,SOKOL,politolog,M,M3,7,1,M3,rule,M
Petra TUHÁČKOVÁ,Petra,TUHÁČKOVÁ,redaktorka,F,M1,7,4,M1,rule,F
Fatih BIROL,Fatih,BIROL,hlavní ekonom,M,M5,7,2,M5,rule,M
Bronislav KVASNIČKA,Bronislav,KVASNIČKA,generální ředitel výzkumná agentura,M,M5,7,1,M5,rule,M
Boris JOHNSON,Boris,JOHNSON,premiér,M,M6,7,6,M6,rule,M
Brna ODS,Brna,ODS,živě,F?,?,7,1,?,llm,F
Markéta CHUMCHALOVÁ,Markéta,CHUMCHALOVÁ,redaktorka,F,M1,7,4,M1,rule,F
Pavel KAPLER,Pavel,KAPLER,vedoucí polárníků,M,M5,7,1,M5,rule,M
Pavel KINDLMANN,Pavel,KINDLMANN,vedoucí pracovník,M,M5,7,1,M5,rule,M
Jakub LINKA,Jakub,LINKA,redaktor redaktor,M,M1,7,1,M1,rule,M
Andreas PAPADOPULOUS,Andreas,PAPADOPULOUS,redaktor,M,M1,7,2,M1,rule,M
Mauricio MACRI,Mauricio,MACRI,argentinský prezident,M,M6,7,7,M6,rule,M
Kamil KUPEC,Kamil,KUPEC,ředitel,M,M5,7,2,M5,rule,M
Jan KRAJHANZL,Jan,KRAJHANZL,katedra enviromentálních studií,M,M3,7,1,M3,rule,M
Jan KOZINA,Jan,KOZINA,předseda správní rady,M,M6,7,1,M6,rule,M
Stanislav LHOTA,Stanislav,LHOTA,zoolog,M,M3,7,1,M3,rule,M
Václav LIDICKÝ,Václav,LIDICKÝ,ředitel odboru hospodářské úpravy a,M,M5,7,1,M5,rule,M
Václav MAREK,Václav,MAREK,ředitel laboratoře,M,M5,7,1,M5,rule,M
Václav KLAUS,Václav,KLAUS,prezident,M,M6,7,4,M6,rule,M
Petr HRADECKÝ,Petr,HRADECKÝ,vulkanolog geolog,M,?,7,1,M3,llm,M
Petr JANYŠKA,Petr,JANYŠKA,nezávislý novinář bývalý velvyslanec,M,M1,7,1,M1,rule,M
Karel KLEM,Karel,KLEM,předseda,M,M6,7,1,M6,rule,M
Drahomíra RAČÁKOVÁ,Drahomíra,RAČÁKOVÁ,moderátorka,F,M1,7,6,M1,rule,F
Donald TRUMP,Donald,TRUMP,zvolený prezident,M,?,7,4,M6,llm,M
Jiří ŠEBESTIAN,Jiří,ŠEBESTIAN,ornitolog,M,M3,7,2,M3,rule,M
Daniela TUNKLOVÁ,Daniela,TUNKLOVÁ,redaktorka,F,M1,7,2,M1,rule,F
Daniel TAKÁČ,Daniel,TAKÁČ,redaktor,M,M1,7,2,M1,rule,M
Daniel HEJL,Daniel,HEJL,spoluzakladatel a technický ředitel,M,M5,7,1,M5,rule,M
Mikuláš PEKSA,Mikuláš,PEKSA,člen výboru pro průmysl výzkum,M,M6,7,1,M6,rule,M
Petr ŠTENGL,Petr,ŠTENGL,důchodce z,M,M2,7,1,M2,rule,M
Jan NOVÁK,Jan,NOVÁK,redaktor,M,M1,7,1,M1,rule,M
Kovy KOVÁŘ,Kovy,KOVÁŘ,youtuber,M,?,7,1,M2,llm,M
Heiko MAAS,Heiko,MAAS,německý ministr zahraničí,M,M6,7,7,M6,rule,M
Václav BAŽANT,Václav,BAŽANT,dendrolog katedra ekologie lesa,M,M3,7,1,M3,rule,M
Jan MACHÁČ,Jan,MACHÁČ,katedra ekonomie,M,M3,7,1,M3,rule,M
Josef ŘIHÁK,Josef,ŘIHÁK,hejtman,M,M6,7,1,M6,rule,M
Josef PAZDERKA,Josef,PAZDERKA,zahraniční zpravodaj,M,M1,7,1,M1,rule,M
Tomáš CHMELÍK,Tomáš,CHMELÍK,manažer pro čisté technologie,M,M5,7,1,M5,rule,M
Joko WIDODO,Joko,WIDODO,indonéský prezident,M,?,7,3,M6,llm,M
Jolana VOLDÁNOVÁ,Jolana,VOLDÁNOVÁ,moderátorka,F,M1,7,6,M1,rule,F
Michal PAVLÁSEK,Michal,PAVLÁSEK,dobrovolník etnolog,M,M2,7,1,M2,rule,M
Armin LASCHET,Armin,LASCHET,kandidát,M,M6,7,5,M6,rule,M
Apolena RYCHLÍKOVÁ,Apolena,RYCHLÍKOVÁ,novinářka,F,M1,7,1,M1,rule,F
Bohumil DOBOŠ,Bohumil,DOBOŠ,politický geograf,M,M3,7,1,M3,rule,M
Karolína FARSKÁ,Karolína,FARSKÁ,organizátorka iniciativy,F,?,7,1,M5,llm,F
Jan ZAHRADNÍK,Jan,ZAHRADNÍK,místopředseda poslaneckého klubu,M,M6,7,1,M6,rule,M
Jan TRNKA,Jan,TRNKA,lékař biochemik,M,?,7,1,M3,llm,M
Jan VEVERA,Jan,VEVERA,přednosta,M,?,7,1,M6,llm,M
Jan STEJSKAL,Jan,STEJSKAL,historik,M,M3,7,1,M3,rule,M
Radek KUBALA,Radek,KUBALA,aktivista,M,M5,7,1,M5,rule,M
Tereza KRUMPHOLZOVÁ,Tereza,KRUMPHOLZOVÁ,moderátorka,F,M1,7,6,M1,rule,F
Jan HAMÁČEK,Jan,HAMÁČEK,ministr vnitra,M,M6,7,3,M6,rule,M
Jan CZUDEK,Jan,CZUDEK,generální ředitel,M,M5,7,4,M5,rule,M
Jan DAŇHELKA,Jan,DAŇHELKA,hydrolog,M,M3,7,1,M3,rule,M
Jan BEZDĚK,Jan,BEZDĚK,mluvčí,M,M1,7,1,M1,rule,M
Katrín JAKOBSDÓTTIROVÁ,Katrín,JAKOBSDÓTTIROVÁ,islandská premiérka,F,?,7,5,M6,llm,F
Petr HAVEL,Petr,HAVEL,zemědělský analytik,M,?,7,1,M5,llm,M
Jiří SLOVÁČEK,Jiří,SLOVÁČEK,hraboši poškozený zemědělec ze,M,?,7,1,M5,llm,M
Jiří PLEŠEK,Jiří,PLEŠEK,předseda komise pro energetiku,M,M6,7,1,M6,rule,M
Kateřina OSIČKOVÁ,Kateřina,OSIČKOVÁ,týmová lídryně dobrovolníci organizace,F,?,7,1,M2,llm,F
Martin RULÍK,Martin,RULÍK,předseda výboru,M,M6,7,1,M6,rule,M
Joan CLOS,Joan,CLOS,generální tajemník,M,M6,7,1,M6,rule,M
Radek HOLOMČÍK,Radek,HOLOMČÍK,místopředseda sněmovního zemědělského výboru,M,M6,7,1,M6,rule,M
Radek HOLOMČÍK,Radek,HOLOMČÍK,místopředseda strany místopředseda zemědělského výboru,M,M6,7,1,M6,rule,M
Barbora LUKŠOVÁ,Barbora,LUKŠOVÁ,redaktorka,F,M1,7,2,M1,rule,F
Viktorie TENZEROVÁ,Viktorie,TENZEROVÁ,ředitelka organizace,F,M5,7,1,M5,rule,F
Jan BARTOŠEK,Jan,BARTOŠEK,předseda poslaneckého klubu,M,M6,7,2,M6,rule,M
Petr KOLÁŘ,Petr,KOLÁŘ,komentátor,M,M1,7,1,M1,rule,M
Radek HOLOMČÍK,Radek,HOLOMČÍK,místopředseda zemědělského výboru,M,M6,7,1,M6,rule,M
Radim ŠRÁM,Radim,ŠRÁM,předseda,M,M6,7,1,M6,rule,M
Jan RŮŽIČKA,Jan,RŮŽIČKA,mikrobiolog,M,?,7,1,M5,llm,M
Jan SKALÍK,Jan,SKALÍK,koordinátor kampaně,M,M5,7,1,M5,rule,M
Josef KOUKAL,Josef,KOUKAL,komentátor,M,M1,7,1,M1,rule,M
Josef HÁJEK,Josef,HÁJEK,odborný asistent,M,?,7,1,M3,llm,M
Michal CAGALA,Michal,CAGALA,redaktor,M,M1,7,3,M1,rule,M
Michal CAGALA,Michal,CAGALA,redaktor redaktor,M,M1,7,1,M1,rule,M
Martin SALAJKA,Martin,SALAJKA,letecký publicista,M,?,7,1,M1,llm,M
Vladimír BEJČEK,Vladimír,BEJČEK,děkan,M,M5,7,1,M5,rule,M
Zdeněk ŽALUD,Zdeněk,ŽALUD,pedagog a vědec,M,?,7,1,M3,llm,M
Sandip VERMA,Sandip,VERMA,náměstkyně brit,M,M5,7,1,M5,rule,M
Miroslav FLORIÁN,Miroslav,FLORIÁN,ředitel,M,M5,7,1,M5,rule,M
Roman PRYMULA,Roman,PRYMULA,náměstek ministra zdravotnictví,M,M5,7,1,M5,rule,M
Alexis DUTERTRE,Alexis,DUTERTRE,velvyslanec,M,M6,7,1,M6,rule,M
Zdeněk KALVACH,Zdeněk,KALVACH,geriatr předseda správní rady,M,?,7,1,M3,llm,M
Pavel PUNČOCHÁŘ,Pavel,PUNČOCHÁŘ,vrchní rada sekce vodního hospodářství,M,?,7,1,M6,llm,M
Adam PETRUSEK,Adam,PETRUSEK,vedoucí katedry ekologie,M,M5,6,1,M5,rule,M
Aleš FARDA,Aleš,FARDA,klimatolog,M,M3,6,1,M3,rule,M
Luboš MOTL,Luboš,MOTL,fyzik publicista,M,M3,6,1,M3,rule,M
Irena KRCHÁKOVÁ,Irena,KRCHÁKOVÁ,redaktorka,F,M1,6,2,M1,rule,F
Hynek KMONÍČEK,Hynek,KMONÍČEK,ředitel zahraničního odboru,M,M5,6,1,M5,rule,M
Marek KOŠUT,Marek,KOŠUT,starosta,M,M6,6,1,M6,rule,M
Andrej BABIŠ,Andrej,BABIŠ,ministr financí předseda hnutí,M,M6,6,4,M6,rule,M
Aleš HAZUKA,Aleš,HAZUKA,redaktor,M,M1,6,1,M1,rule,M
Dmitrij PESKOV,Dmitrij,PESKOV,mluvčí,M,M1,6,5,M1,rule,M
Michal FLEISCHMANN,Michal,FLEISCHMANN,velvyslanec,M,M6,6,1,M6,rule,M
Tana WOODOVÁ,Tana,WOODOVÁ,ekoložka,F,M3,6,2,M3,rule,F
Vladimír DOLEJSKÝ,Vladimír,DOLEJSKÝ,náměstek sekce ochrany přírody a,M,M5,6,1,M5,rule,M
Ondřej KAVAN,Ondřej,KAVAN,redaktor,M,M1,6,2,M1,rule,M
Ondřej CÍSAŘ,Ondřej,CÍSAŘ,sociolog a politolog,M,M3,6,1,M3,rule,M
Josef ELSTER,Josef,ELSTER,biolog,M,M3,6,1,M3,rule,M
Barbora LOUDOVÁ,Barbora,LOUDOVÁ,redaktorka,F,M1,6,1,M1,rule,F
Veronika SKŘIVANOVÁ,Veronika,SKŘIVANOVÁ,redaktorka,F,M1,6,2,M1,rule,F
Veronika VÁCHOVÁ,Veronika,VÁCHOVÁ,redaktorka,F,M1,6,1,M1,rule,F
Greta THUNBERGOVÁ,Greta,THUNBERGOVÁ,enviromentální aktivistka,F,?,6,4,M5,llm,F
Jiří ŠEBESTIÁN,Jiří,ŠEBESTIÁN,ornitolog,M,M3,6,1,M3,rule,M
Jiří VÍŠEK,Jiří,VÍŠEK,místopředseda,M,M6,6,1,M6,rule,M
Přemysl ŠRÁMEK,Přemysl,ŠRÁMEK,redaktor,M,M1,6,2,M1,rule,M
Petr KOLÁŘ,Petr,KOLÁŘ,manažer bývalý diplomat,M,M5,6,1,M5,rule,M
Petr KOPECKÝ,Petr,KOPECKÝ,politolog,M,M3,6,1,M3,rule,M
Petr KOŘÍNEK,Petr,KOŘÍNEK,redaktor,M,M1,6,1,M1,rule,M
Vladislav SMRŽ,Vladislav,SMRŽ,ředitel sekce ministerstva životního prostředí,M,M5,6,1,M5,rule,M
Barack OBAMA,Barack,OBAMA,bývalý prezident,M,M6,6,6,M6,rule,M
Jan CHVOJKA,Jan,CHVOJKA,místopředseda poslaneckého klubu,M,M6,6,1,M6,rule,M
Jan DUSÍK,Jan,DUSÍK,zástupce pro,M,M5,6,1,M5,rule,M
Kateřina JELÍNKOVÁ,Kateřina,JELÍNKOVÁ,mluvčí,F,M1,6,1,M1,rule,F
Eliška KOLOMAZNÍKOVÁ,Eliška,KOLOMAZNÍKOVÁ,redaktorka,F,M1,6,1,M1,rule,F
Conie HADEGAARDOVÁ,Conie,HADEGAARDOVÁ,eurokomisařka pro klima,F,?,6,1,M6,llm,F
Tim JARVIS,Tim,JARVIS,badatel,M,?,6,3,M3,llm,M
Charlie VERON,Charlie,VERON,mořský biolog,F?,M3,6,1,M3,rule,M
Vanda KOFROŇOVÁ,Vanda,KOFROŇOVÁ,redaktorka,F,M1,6,1,M1,rule,F
Petr PAVEL,Petr,PAVEL,náčelník,M,M6,6,1,M6,rule,M
Jan JANDOUREK,Jan,JANDOUREK,redaktor,M,M1,6,1,M1,rule,M
Jan HOLLAN,Jan,HOLLAN,odborník na klimatické změny,M,M3,6,1,M3,rule,M
Michal MACENAUER,Michal,MACENAUER,ředitel,M,M5,6,1,M5,rule,M
Arif TURHAN,Arif,TURHAN,potápěč,M,?,6,3,M2,llm,M
Antonín STEINBAUER,Antonín,STEINBAUER,majitel,M,M5,6,1,M5,rule,M
Tomáš HALÍK,Tomáš,HALÍK,teolog filozof držitel,M,?,6,1,M3,llm,M
Josef ŠTULC,Josef,ŠTULC,památkář,M,?,6,1,M5,llm,M
Josef PAZDERKA,Josef,PAZDERKA,redaktor,M,M1,6,3,M1,rule,M
Claude JUNCKER,Claude,JUNCKER,předseda,F?,M6,6,4,M6,rule,M
Barbora BERECOVÁ,Barbora,BERECOVÁ,vedoucí údržby,F,M5,6,1,M5,rule,F
Jakub PACNER,Jakub,PACNER,redaktor,M,M1,6,2,M1,rule,M
Petr BENDL,Petr,BENDL,poslanec,M,M6,6,1,M6,rule,M
Ladislav MIKO,Ladislav,MIKO,bývalý ministr životního prostředí pověřen,M,M6,6,1,M6,rule,M
Martin DORAZÍN,Martin,DORAZÍN,zpravodaj,M,M1,6,1,M1,rule,M
Veronika KABÁTOVÁ,Veronika,KABÁTOVÁ,moderátorka,F,M1,6,2,M1,rule,F
Tereza STÁRKOVÁ,Tereza,STÁRKOVÁ,redaktorka redaktorka,F,M1,6,1,M1,rule,F
Tereza ŘEZNÍČKOVÁ,Tereza,ŘEZNÍČKOVÁ,redaktorka,F,M1,6,1,M1,rule,F
Jan RUTSCH,Jan,RUTSCH,vedoucí lékař,M,M5,6,1,M5,rule,M
Petra JELÍNKOVÁ,Petra,JELÍNKOVÁ,překladatelka aktivistka hnutí,F,?,6,1,M5,llm,F
Petteri TAALAS,Petteri,TAALAS,generální tajemník,M,M6,6,6,M6,rule,M
