article_id,year,firstname,surname,name,role_raw,gender,type
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E044T127,2012,Jakub,ŽELEZNÝ,Jakub ŽELEZNÝ,moderátor,M,M1
2012E044T127,2012,Dušan,MULÍČEK,Dušan MULÍČEK,dramaturg,M,M5
2012E089A015,2012,Jan,HRUBEŠ,Jan HRUBEŠ,moderátor,M,M1
2012E089A015,2012,Rajendra,PACHAURI,Rajendra PACHAURI,předseda klimatického panelu,F?,M6
2012E089A015,2012,Rajendra,PACHAURI,Rajendra PACHAURI,předseda klimatického panelu,F?,M6
2012E088T039,2012,Veronika,PAROULKOVÁ,Veronika PAROULKOVÁ,redaktorka,F,M1
2012E088T039,2012,Petr,MEŠKÁN,Petr MEŠKÁN,redaktor,M,M1
2012E088T039,2012,Jana,ZÁHORKOVÁ,Jana ZÁHORKOVÁ,vedoucí kulturní redakce iDNES,F,M5
2012E088T039,2012,Petr,MEŠKÁN,Petr MEŠKÁN,redaktor,M,M1
2012E088T039,2012,František,SOUKUP,František SOUKUP,kapelník,M,?
2012E088T039,2012,Petr,MEŠKÁN,Petr MEŠKÁN,redaktor,M,M1
2012E088T039,2012,Petr,KUNEŠ,Petr KUNEŠ,manažer,M,M5
2012E088T039,2012,Petr,MEŠKÁN,Petr MEŠKÁN,redaktor,M,M1
